date,code,name,family_id,close,fwd_ret_5,is_trainable,vol_20_relative,vol_20,ret_5,vol_60_relative,amplitude,intraday_range,drawdown_20,ret_5_rolling_zscore,drawdown_60,month_cos,vol_5,ret_3,volume_chg_5,volume_chg_5_clipped,ma_gap_20_60,family_CSI_A50,ret_3_rolling_zscore,family_CSI_A500,ret_60_rolling_zscore,vol_60,ret_20,ret_20_rolling_zscore,ret_60,family_CSI_A100,family_CSI_2000,ret_10
2020-05-29,510310,沪深300ETF易方达,CSI_300,3.176,0.0415617128463474,True,1.0099452470304615,0.0088806278565364,0.0114649681528662,0.9284632351000732,1.261829652996847,0.0125944584382871,-0.0263641937461679,0.4376843550471726,-0.0826112073945696,-0.8660254037844387,0.0073820512100353,-0.0025125628140703,-0.1413717828901312,-0.1413717828901312,0.0185853158022784,0.0,-0.28279003866806396,0.0,-0.921130611756776,0.0150868011448934,0.0076142131979695,-1.2862483914408191,-0.0536352800953515,0.0,0.0,-0.0105919003115264
2020-05-29,510500,中证500ETF南方,CSI_500,4.88,0.0368852459016393,True,0.9615692878309817,0.0112579381964041,0.0143421326127624,0.8723085123258735,1.4468788755684223,0.014344262295082,-0.024390243902439,0.3738969784252751,-0.0665646518745217,-0.8660254037844387,0.0110534396340807,-0.0008190008190008,-0.336427349225324,-0.336427349225324,0.0174622619962208,0.0,-0.24627600909434827,0.0,-0.6511760072606058,0.0161192933425044,0.0391822827938672,0.02017663042151146,-0.0440744368266406,0.0,0.0,-0.0183061758197545
2020-05-29,512100,中证1000ETF南方,CSI_1000,2.015,0.0367245657568238,True,0.9464382019304247,0.0126494856050667,0.0264900662251654,0.8312181432482473,2.4623115577889525,0.024317617866005,-0.0185094982951776,0.759126279335474,-0.0739889705882352,-0.8660254037844387,0.0124218197212125,0.0029865604778498,0.0225039551427617,0.0225039551427617,0.0118169881830119,0.0,-0.1009742300792405,0.0,-0.7133327822000833,0.0178038450001786,0.054421768707483,0.8937984612187716,-0.0454760776882994,0.0,0.0,-0.0093411996066862
2020-05-29,512500,中证500ETF华夏,CSI_500,2.73,0.0355311355311356,True,0.9696620665261874,0.0107728570825039,0.0122358175750834,0.8925886663848708,1.5908250092489882,0.0157509157509158,-0.0239542366821595,0.3287276291139085,-0.0650684931506849,-0.8660254037844387,0.0116240710512243,-0.0018281535648994,-0.1674350570135663,-0.1674350570135663,0.0168426127373417,0.0,-0.2947524127630367,0.0,-0.5972972587169518,0.0154822945816392,0.0368401063425749,0.0016893215220130618,-0.0394088669950739,0.0,0.0,-0.0162162162162161
2020-06-01,510300,沪深300ETF华泰柏瑞,CSI_300,3.477,0.0155306298533219,True,1.2705033231328418,0.0114206127812312,0.0453998797354178,0.9390464651492302,2.399999999999999,0.0232959447799827,0.0,1.7292989843800106,-0.0625505527096252,-1.0,0.0137261993629507,0.0366726296958854,0.4005799815373343,0.4005799815373343,0.0213049334064947,0.0,1.8072042175266974,0.0,0.002624765785171709,0.0160509209960843,0.0348214285714285,-0.07846675259712002,-0.0293132328308207,0.0,0.0,0.0157756354075371
2020-06-01,510310,沪深300ETF易方达,CSI_300,3.27,0.0159021406727828,True,1.2451050954918061,0.0110073799189164,0.0420650095602295,0.9625719776730313,2.6448362720403047,0.0256880733944954,0.0,1.71234118707015,-0.0554592720970538,-1.0,0.0138870984768824,0.0321969696969697,0.2119566174841145,0.2119566174841145,0.0207213309063201,0.0,1.7153453129482712,0.0,-0.04478250571887037,0.0155878937278627,0.0328490208464939,-0.10178242190914952,-0.0267857142857141,0.0,0.0,0.0148975791433891
2020-06-01,510500,中证500ETF南方,CSI_500,5.052,-0.0007917656373712,True,1.156066883258106,0.0134938907053539,0.0546972860125261,0.9126654567937502,2.909836065573778,0.0281076801266825,0.0,1.6613936046684685,-0.0336648814078042,-1.0,0.0170904786742158,0.0412201154163229,0.3122688923006196,0.3122688923006196,0.0213724920034894,0.0,1.5744611584323152,0.0,-0.0008293953142899732,0.0167441327500611,0.0735231619209517,1.342089247156872,-0.0175029171528589,0.0,0.0,0.0220513857980984
2020-06-01,512100,中证1000ETF南方,CSI_1000,2.083,0.0028804608737396,True,1.0818457879042978,0.0143964758087925,0.0611309220580744,0.8642232078967179,3.920595533498768,0.0379260681709074,0.0,1.7873544859533959,-0.0427389705882352,-1.0,0.0171048924425089,0.0435871743486975,0.3502976133145841,0.3502976133145841,0.0165364407921324,0.0,1.5142082371376042,0.0,-0.23653425585434723,0.0183210542622288,0.0900052328623757,2.0347833699743414,-0.0206864127879641,0.0,0.0,0.0311881188118812
2020-06-01,512500,中证500ETF华夏,CSI_500,2.821,0.0,True,1.1613989051785518,0.0128710025053013,0.0514349608647037,0.9306409577133654,3.0036630036629983,0.0290677064870612,0.0,1.6667539530826878,-0.033904109589041,-1.0,0.0168526483739662,0.0378955114054453,-0.0522948130383927,-0.0522948130383927,0.0205015332871696,0.0,1.5276917438717725,0.0,-0.015476110463273997,0.0160402310992174,0.0685606060606061,1.2930482702477786,-0.0167305681422098,0.0,0.0,0.0213613323678494
2020-06-02,510300,沪深300ETF华泰柏瑞,CSI_300,3.488,0.0200688073394494,True,1.2054263181732774,0.0108575928262591,0.0344009489916963,0.9421648939338463,0.8340523439747012,0.0083142201834863,0.0,1.2202799005279452,-0.0595847937449447,-1.0,0.0136150136916664,0.0384042869901757,-0.65726268483057,-0.65726268483057,0.0229951034954352,0.0,1.8119003908507718,0.0,-0.04746170654684932,0.0160194344638222,0.0207784606379866,-0.6235780704462422,-0.0340625865411243,0.0,0.0,0.0104287369640787
2020-06-02,510310,沪深300ETF易方达,CSI_300,3.284,0.0164433617539587,True,1.1845632859571136,0.010472895405423,0.0314070351758792,0.965451239800982,0.9174311926605444,0.0091352009744213,0.0,1.1918264258675653,-0.051415366839977,-1.0,0.0134781071343188,0.0359621451104099,-0.2392280662061554,-0.2392280662061554,0.0222883401804243,0.0,1.8315817904062273,0.0,-0.0036223275291617737,0.0155779644957447,0.0205096333126164,-0.5954182287555473,-0.0284023668639054,0.0,0.0,0.009840098400984
2020-06-02,510500,中证500ETF南方,CSI_500,5.046,0.0067380103051921,True,1.0761781112752937,0.0124165728081909,0.0331695331695331,0.9191962928958967,1.068883610451312,0.0107015457788347,-0.0011876484560569,0.8139587199052926,-0.0348125478194337,-1.0,0.0169447398624525,0.0429929723026043,-0.481287654591968,-0.481287654591968,0.0240162347669197,0.0,1.513461165055663,0.0,-0.02133099474161243,0.0167384349212674,0.0447204968944099,0.24951401197513384,-0.0219034696646636,0.0,0.0,0.008796481407437
2020-06-02,512100,中证1000ETF南方,CSI_1000,2.08,0.010576923076923,True,1.0287479623116975,0.013543390565209,0.0353409656545546,0.8722160420747161,1.0561689870379165,0.0105769230769229,-0.0014402304368699,0.7961547225740042,-0.0441176470588235,-1.0,0.0165765877384053,0.0452261306532664,-0.2387660615650594,-0.2387660615650594,0.0200657063431892,0.0,1.4248525593371515,0.0,-0.27403398403461704,0.0183081852529216,0.0612244897959184,0.9387851100137237,-0.0271281571562206,0.0,0.0,0.0131514856307843
2020-06-02,512500,中证500ETF华夏,CSI_500,2.817,0.0067447639332622,True,1.0781981034324084,0.0118138755916958,0.0299817184643511,0.9364891520498604,1.098901098901088,0.0110046148384805,-0.0014179369018079,0.7765741270078869,-0.0352739726027396,-1.0,0.0165827338749768,0.0421753607103219,-0.4033694719111345,-0.4033694719111345,0.0229149271732072,0.0,1.5795665803924828,0.0,-0.023203056164186005,0.0160373887073032,0.0406353897303288,0.18040214595779566,-0.0205146036161334,0.0,0.0,0.0071505184125848
