date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable
2024-07-26,510300,沪深300ETF华泰柏瑞,CSI_300,3.263,0.004618226600985098,-0.00820668693009119,-0.03717910888167597,-0.013603385731559836,-0.003968253968253954,-0.04170337738619678,0.009059677335002953,0.008057582458781435,0.006807594744248346,-0.002640764911215898,-0.01711972870973033,-0.03717910888167597,-0.0604664555139649,0.0,,,0.9544334975369363,0.009500459699662794,-0.5715726020807388,,-0.4999999999999997,-0.8660254037844388,1893,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.008274593931964391,True
2024-07-26,510310,沪深300ETF易方达,CSI_300,3.14,0.0064102564102563875,-0.007585335018963302,-0.035626535626535505,-0.01319924575738518,-0.0031746031746030523,-0.04151404151404137,0.009718063058374261,0.008110419584308495,0.006885415215935727,-0.0026197014171637223,-0.017398585783401588,-0.035626535626535505,-0.06100478468899517,0.0,,,0.9615384615384694,0.009554140127388614,-0.7073387977212086,,-0.4999999999999997,-0.8660254037844388,1893,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.008917197452229297,True
2024-07-26,510500,中证500ETF南方,CSI_500,4.653,0.016382699868938255,0.0025856496444731647,-0.029209263509284544,-0.037044701986755024,-0.03923188106545539,-0.1265252487328704,0.016707435985807918,0.012729871103889033,0.01066918632340219,-0.023932288111565225,-0.054521685889692195,-0.05079559363525099,-0.138811771238201,0.0,,,1.9222367846221073,0.01891252955082744,-0.6089793861901527,,-0.4999999999999997,-0.8660254037844388,1893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012465076294863708,True
2024-07-26,512100,中证1000ETF南方,CSI_1000,1.832,0.01664816870144281,0.0032858707557503752,-0.023974427277570598,-0.03578947368421048,-0.038320209973753294,-0.14869888475836435,0.017300952288356992,0.014525444942037103,0.013598203424209034,-0.02091534774108894,-0.06524423824702519,-0.04732189287571498,-0.16040329972502287,0.0,,,2.053274139844613,0.020196506550218297,-0.6429974522911828,,-0.4999999999999997,-0.8660254037844388,1893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02347161572052392,True
2024-07-26,512500,中证500ETF华夏,CSI_500,2.589,0.015294117647058902,0.0027110766847404655,-0.030337078651685334,-0.03575418994413415,-0.038618640920906055,-0.12326447680325092,0.015870934032162356,0.012345781290907418,0.010226701259538146,-0.023469214357192847,-0.052952501296394394,-0.049559471365638874,-0.1352705410821644,0.0,,,1.8823529411764726,0.018539976825028986,-0.24427578712750553,,-0.4999999999999997,-0.8660254037844388,1893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012746234067207318,True
2024-07-29,159531,中证2000ETF南方,CSI_2000,0.751,0.002670226969292422,0.02735978112175097,-0.00792602377807139,-0.017015706806282727,-0.04936708860759498,-0.13974799541809846,0.01608550359066075,0.01659821761375744,0.015186621512266945,-0.022655426765015974,-0.0655808324273317,-0.050568900126422345,-0.16276477146042367,0.0,,,1.4686248331108158,0.014647137150466059,0.5128411065834679,,-0.4999999999999997,-0.8660254037844388,315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026631158455392434,True
2024-07-29,159601,中证A50ETF华夏,CSI_A50,0.733,-0.0040760869565217295,-0.010796221322537103,-0.03425559947299084,-0.03425559947299084,-0.021361815754339153,-0.02785145888594165,0.007302039049731662,0.007469311000865842,0.007398773549574751,-0.016786570743405393,-0.0062007635103823455,-0.044328552803129084,-0.05905006418485248,0.0,,,0.8152173913043484,0.008185538881309695,-0.4679962090717321,,-0.4999999999999997,-0.8660254037844388,994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.023192360163710846,True
2024-07-29,159627,中证A100ETF华夏,CSI_A100,0.915,-0.007592190889370909,-0.008667388949079147,-0.03684210526315779,-0.024520255863539342,-0.017185821697099923,-0.041884816753926635,0.00859236785353083,0.007477953811322461,0.006259724555229206,-0.010198604401502886,-0.015345043251528412,-0.04388714733542309,-0.06249999999999989,0.0,,,0.7592190889370939,0.007650273224043722,0.0819060166886254,,-0.4999999999999997,-0.8660254037844388,607,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.013114754098360715,True
2024-07-29,159800,中证800ETF鹏华,CSI_800,0.982,-0.00707785642062686,-0.005065856129685908,-0.03346456692913391,-0.0248262164846077,,,0.011294938626868985,0.008829931939847964,0.008829931939847964,-0.015850311850311938,0.0,-0.03913894324853229,-0.03913894324853229,0.0,,,0.7077856420626902,0.007128309572301432,-0.7606856361739631,,-0.4999999999999997,-0.8660254037844388,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.009164969450101812,True
2024-07-29,159845,中证1000ETF华夏,CSI_1000,1.904,-0.004184100418409997,0.01222753854332792,-0.02956167176350666,-0.03054989816700615,-0.0499001996007985,-0.13807152557718427,0.016029630336496396,0.013590359058339552,0.012941267126330406,-0.023790540366760093,-0.06263410400443592,-0.044656297039638804,-0.15938189845474626,0.0,,,0.9414225941422603,0.00945378151260505,-0.5070026235176316,,-0.4999999999999997,-0.8660254037844388,1216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005252100840335006,True
