date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable,ret_1_zscore,ret_3_zscore,ret_5_zscore,ret_10_zscore,ret_20_zscore,ret_60_zscore,vol_5_norm,vol_20_norm,vol_60_norm,volume_chg_5_clip,liquidity_shock_20_norm,turnover_ratio
2021-03-09,510300,沪深300ETF华泰柏瑞,CSI_300,4.56,-0.0216691697060716,-0.0632703368940017,-0.075050709939148,-0.1154219204655675,-0.1009463722397476,-0.0097719869706842,0.0242505296919278,0.0208968761564293,0.0166023925666817,-0.0497502576706571,0.0273438427992058,-0.1536748329621381,-0.1536748329621381,0.0,,,3.6258313666595257,0.037061403508772,1.1475119381883272,,1.0,6.123233995736766e-17,658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0206140350877193,True,-1.5958729569417451,-2.585053705890931,-2.35266381150487,-2.62994627931228,-1.7653401136124907,-0.3165991037464697,2.2288923267094822,1.736030727710484,1.2958786804329367,1.1475119381883272,,
2021-03-09,510310,沪深300ETF易方达,CSI_300,4.263,-0.0220233998623538,-0.0641053787047201,-0.0742671009771988,-0.1139056329245479,-0.0989220038046924,-0.0106753307031794,0.0225244843601263,0.0192765449356043,0.0155573925415963,-0.0481472038075811,0.0264851071254605,-0.1506276150627615,-0.1506276150627615,0.0,,,3.624684560679063,0.03706310110251,1.207140137405844,,1.0,6.123233995736766e-17,658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0201735866760497,True,-1.666375064757838,-2.7213881678697143,-2.4139943189423714,-2.676359008967868,-1.7824363717133174,-0.34491352980691325,2.128363346206952,1.643464758333008,1.2452580169184504,1.207140137405844,,
2021-03-09,510500,中证500ETF南方,CSI_500,5.682,-0.0233757304915777,-0.0461641765989591,-0.0499916401939474,-0.0795399319617689,-0.0520520520520519,-0.0455232655803796,0.0170876963477553,0.0152092471088017,0.0124313828371134,-0.0163863338809343,0.0048686062881275,-0.0908799999999999,-0.0908799999999999,0.0,,,3.678239944998289,0.0376627947905667,0.8490969311575804,,1.0,6.123233995736766e-17,658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0110876451953536,True,-1.6320550309356963,-1.7718030360854045,-1.521746845500674,-1.8140753127870812,-0.968766726872112,-0.7421422411723813,1.4115522564931358,1.1487864237415564,0.8926746823498841,0.8490969311575804,,
2021-03-09,512100,中证1000ETF南方,CSI_1000,2.299,-0.0291385135135134,-0.0531301482701812,-0.05740057400574,-0.05740057400574,-0.0432792342904703,-0.0869737887212073,0.0178434187552892,0.0178924617793135,0.0141860592262631,0.0034298142881044,-0.0193802424068413,-0.0688537869582827,-0.0959496657491153,0.0,,,4.729729729729734,0.0487168334058286,-0.1457537679625221,,1.0,6.123233995736766e-17,658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204436711613746,True,-1.769305643809672,-1.8093442462526226,-1.573314373353571,-1.2273993697907448,-0.7711313687709779,-1.0089790435623314,1.2669553944038399,1.1667083197233652,0.8823767381786731,-0.1457537679625221,,
2021-03-09,512500,中证500ETF华夏,CSI_500,3.157,-0.0232054455445545,-0.0453583308134259,-0.0479493365500602,-0.0769005847953215,-0.0493827160493827,-0.0412997266929852,0.0162142575885879,0.0146801788201455,0.0119738152733566,-0.0154901194092699,0.0052914852443155,-0.087308470656259,-0.087308470656259,0.0,,,3.4962871287128707,0.035793474817865,2.366013326372236,,1.0,6.123233995736766e-17,658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0101362052581563,True,-1.6676731135070957,-1.8061188400819386,-1.5188007336250966,-1.8183366608187999,-0.9539974341078468,-0.7154435138191731,1.3915626583447702,1.1478784736455034,0.8886645014695194,2.366013326372236,,
2021-03-10,510300,沪深300ETF华泰柏瑞,CSI_300,4.581,0.004605263157895,-0.0548793067877037,-0.0901688182720953,-0.0852635782747602,-0.0957362810896169,-0.0017432991937241,0.0184067811627636,0.0209937996986565,0.0166067263956742,-0.0632450034356048,0.0224336239635905,-0.1497772828507794,-0.1497772828507794,0.0,,,1.7105263157894803,0.017026850032744,0.7625022635735499,,1.0,6.123233995736766e-17,659,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.020956123117223,True,0.30218913401262654,-2.2493078303526763,-2.8128062878786104,-1.9683148484345963,-1.6815073341225042,-0.23902462728561763,1.6917870996756361,1.7440827564580057,1.2962169519545546,0.7625022635735499,,
2021-03-10,510310,沪深300ETF易方达,CSI_300,4.281,0.0042223786066151,-0.0543406229290922,-0.0881789137380193,-0.083886154504601,-0.0943515972075312,-0.0037235280428206,0.0169945920252102,0.0193673612113698,0.0155628859587548,-0.0612924574624793,0.021680807904552,-0.147041243275553,-0.147041243275553,0.0,,,1.7358667604972986,0.0172856809156738,1.1748994504263823,,1.0,6.123233995736766e-17,659,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0205559448726933,True,0.2808476703670611,-2.315538084846818,-2.852564864173191,-1.9983595307990547,-1.706999625661765,-0.2759661301412164,1.6058377262668464,1.6512075021287582,1.2456977256767534,1.1748994504263823,,
2021-03-10,510500,中证500ETF南方,CSI_500,5.62,-0.0109116508271736,-0.0581531758002346,-0.0732189973614775,-0.077327204071581,-0.0565721000503608,-0.0546677880571909,0.0108564183888227,0.0153051165121582,0.012500951355225,-0.0284662987121593,0.0029551306603892,-0.1008,-0.1008,0.0,,,2.39352340725097,0.0241992882562277,0.5644304811658276,,1.0,6.123233995736766e-17,659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0284697508896798,True,-0.7824564231541348,-2.2148557409114753,-2.189142528783237,-1.7671314221781789,-1.0367353340849284,-0.825999931346022,0.8968091170574507,1.156027641419216,0.89767026937512,0.5644304811658276,,
2021-03-10,512100,中证1000ETF南方,CSI_1000,2.272,-0.0117442366246194,-0.0654051830522419,-0.0797893884163629,-0.0619322873658134,-0.0393234672304441,-0.0959013131715081,0.0120989321887731,0.0177503785573524,0.0142484983309981,-0.0111267103912159,-0.0196724230016023,-0.0797893884163629,-0.1065670467951239,0.0,,,2.261852979556331,0.0228873239436619,-0.1744539473422989,,1.0,6.123233995736766e-17,659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360915492957747,True,-0.735677913419191,-2.212393308240795,-2.153874312371778,-1.314416716092203,-0.7174614801475939,-1.0805739821419666,0.8590734552227288,1.1574435422321665,0.8862604674576873,-0.1744539473422989,,
2021-03-10,512500,中证500ETF华夏,CSI_500,3.121,-0.011403230915426,-0.0570996978851964,-0.0711309523809523,-0.0736123478777085,-0.0551014229488343,-0.0516560316013369,0.0100808377495095,0.014804829158211,0.0120542825105895,-0.0272047291591266,0.0033995420201551,-0.097716102919919,-0.097716102919919,0.0,,,2.37567310738043,0.0240307593719962,1.0810785781945378,,1.0,6.123233995736766e-17,659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0275552707465556,True,-0.83920908091402,-2.2565110073667722,-2.2115329134631025,-1.7460294869702333,-1.0428553890359606,-0.8133465451147878,0.8651717354560332,1.1576251832429145,0.8946365643106191,1.0810785781945378,,
2021-03-11,510300,沪深300ETF华泰柏瑞,CSI_300,4.71,0.0281597904387687,0.0105127655009655,-0.0324568611339359,-0.068985965605851,-0.0682492581602373,0.0399646721130493,0.0253737753005947,0.0222521156631792,0.0169025425656182,-0.066330915122809,0.0182954129187189,-0.1258351893095768,-0.1258351893095768,0.0,,,2.5540275049115917,0.0248407643312101,-0.0376827804079992,,1.0,6.123233995736766e-17,660,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0014861995753714,True,2.0037655499013405,0.367190774191874,-1.0562556474751268,-1.6112070175974662,-1.2392284054674698,0.1639645196646495,2.3321310414910874,1.8486187245724535,1.3193065076567285,-0.0376827804079992,,
2021-03-11,510310,沪深300ETF易方达,CSI_300,4.399,0.0275636533520207,0.009176416609314,-0.0342480790340284,-0.067810976901886,-0.0674157303370786,0.0367664388404429,0.0247649822866116,0.020673903590359,0.0158704388165104,-0.0647787155648859,0.0176356462407081,-0.1235305837816298,-0.1235305837816298,0.0,,,2.6162111656155127,0.0254603318936122,0.331971463214882,,1.0,6.123233995736766e-17,660,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0022732439190724,True,2.012579914651146,0.3244046195443796,-1.1523927882885592,-1.6352965263842352,-1.2624102646086686,0.12560998839134144,2.34007046401452,1.7625996817081642,1.270315132528342,0.331971463214882,,
2021-03-11,510500,中证500ETF南方,CSI_500,5.777,0.0279359430604981,-0.0070470952217256,-0.0302165519556822,-0.0465423337184354,-0.0191850594227503,-0.0123097965464181,0.0217744799849235,0.0166179298378697,0.0128769973806902,-0.0335741250721955,0.0022091043060756,-0.0756799999999999,-0.0756799999999999,0.0,,,3.220640569395019,0.0313311407304829,-0.1384687368227188,,1.0,6.123233995736766e-17,660,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0081357105764237,True,1.8655418704452922,-0.32623377562194583,-0.9535458043077738,-1.1140183156476748,-0.47454106530318185,-0.43756594395134185,1.7987103545833405,1.2551871931508467,0.9246734411645772,-0.1384687368227188,,
2021-03-11,512100,中证1000ETF南方,CSI_1000,2.338,0.0290492957746479,-0.0126689189189188,-0.0370675453047775,-0.0302778929904603,0.0108084738434932,-0.0530579181855001,0.0236501973511798,0.0183617444427314,0.0146289592946058,-0.0191840495937002,-0.0182782655180212,-0.0530579181855001,-0.0806134486826583,0.0,,,3.2570422535211203,0.031650983746792,-0.4854487100921237,,1.0,6.123233995736766e-17,660,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081266039349872,True,1.6884140208300087,-0.4808054008272972,-1.046062608870442,-0.7065933216137813,-0.03729612837522532,-0.7369882266906962,1.6792603213389647,1.1973086917942792,0.9099252427640646,-0.4854487100921237,,
2021-03-11,512500,中证500ETF华夏,CSI_500,3.209,0.0281960909964755,-0.0071163366336634,-0.0296341094647716,-0.0446561476629948,-0.0171516079632465,-0.0089561457689931,0.0215096411101483,0.0161648546085476,0.0124518979191646,-0.0322989616034774,0.0026988442892958,-0.0722752240531945,-0.0722752240531945,0.0,,,3.140019224607493,0.0305391087566219,0.2951872458192541,,1.0,6.123233995736766e-17,660,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0062324711748207,True,1.9404907423815816,-0.3391776794288299,-0.9714899993098258,-1.109292823713289,-0.45318660397495375,-0.4096843995949259,1.8460304580548297,1.2639688427567257,0.9241465150465583,0.2951872458192541,,
2021-03-12,510300,沪深300ETF华泰柏瑞,CSI_300,4.723,0.0027600849256899,0.0357456140350878,-0.0255828347431401,-0.0380855397148677,-0.0671538613470273,0.045142730692631,0.0257084967133404,0.0222672426382061,0.0168997533320629,-0.0681212023983796,0.0141340600341659,-0.1234224201930215,-0.1234224201930215,0.0,,,1.528662420382167,0.0152445479568071,-0.2449854110174824,,1.0,6.123233995736766e-17,661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0307008257463475,True,0.16889366492542157,1.376819474850974,-0.8470342649807346,-0.9332953184851411,-1.2216029634454884,0.2139957569668882,2.3628956473752463,1.8498754144847362,1.3190887975715981,-0.2449854110174824,,
2021-03-12,510310,沪深300ETF易方达,CSI_300,4.411,0.0027278927028868,0.0347173352099459,-0.0256240335763199,-0.039207144412982,-0.0664550264550264,0.0415584415584413,0.0251297954690796,0.0206882572851108,0.0158687463112542,-0.066609349811929,0.0135650330048582,-0.1211396692568241,-0.1211396692568241,0.0,,,1.3184814730620558,0.0131489458172749,-0.2458120233003794,,1.0,6.123233995736766e-17,661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.027204715484017,True,0.1699690034414786,1.3859553815634045,-0.8805193535673517,-0.9892698623027291,-1.2465533877115178,0.17313667215078643,2.374542063602057,1.7638234379131925,1.2701796595862451,-0.2458120233003794,,
