index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,300045.SZ,300045,华力创通,18.86,1.452393760086,2026-06-03 00:00:00,军工电子Ⅱ,北京市,,-0.018,-0.79,97.38,-261.32,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002518.SZ,002518,科士达,51.28,-1.289701636189,2026-06-03 00:00:00,其他电源设备Ⅱ,深圳市,,0.24,2.83,289.8,53.84,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002537.SZ,002537,海联金汇,6.22,-1.426307448494,2026-06-03 00:00:00,汽车零部件,青岛市,,0.05,1.19,72.72,35.12,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300226.SZ,300226,上海钢联,21.38,-1.47465437788,2026-06-03 00:00:00,软件开发,上海市,,0.1664,2.39,65.52,32.13,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002434.SZ,002434,万里扬,7.35,1.941747572816,2026-06-03 00:00:00,汽车零部件,金华市,,0.05,1.22,96.38,33.54,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300180.SZ,300180,华峰超纤,4.91,-0.607287449393,2026-06-03 00:00:00,塑料,上海市,,-0.0011,-0.04,84.09,-1119.26,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600810.SH,600810,神马股份,5.83,0.865051903114,2026-06-03 00:00:00,化学纤维,平顶山市,,-0.03,-0.34,63.01,-50.74,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000813.SZ,000813,德展健康,3.17,-2.760736196319,2026-06-03 00:00:00,化学制药,乌鲁木齐市,,-0.0164,-0.75,66.47,-48.28,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000811.SZ,000811,冰轮环境,31.76,2.418574653338,2026-06-03 00:00:00,通用设备,烟台市,,0.12,1.81,310.74,67.23,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000035.SZ,000035,中国天楹,5.91,1.721170395869,2026-06-03 00:00:00,环境治理,南通市,,0.05,1.02,136.7,31.87,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600226.SH,600226,亨通股份,6.1,0.328947368421,2026-06-03 00:00:00,电力,湖州市,,0.02,1.96,181.44,63.16,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000762.SZ,000762,西藏矿业,29.31,0.617919670443,2026-06-03 00:00:00,能源金属,拉萨市,,0.0365,0.65,152.65,201.01,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600827.SH,600827,百联股份,8.21,-2.028639618138,2026-06-03 00:00:00,一般零售,上海市,,0.4438,3.81,131.73,4.63,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,001356.SZ,001356,富岭股份,9.68,-3.103103103103,2026-06-03 00:00:00,家居用品,台州市,,0.025,0.72,19.42,96.64,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301487.SZ,301487,盟固利,24.3,-2.527075812274,2026-06-03 00:00:00,电池,天津市,,0.0432,1.04,66.29,140.56,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301510.SZ,301510,固高科技,33.91,3.954629061925,2026-06-03 00:00:00,自动化设备,深圳市,,0.06,1.53,94.66,153.7,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
