date,open,high,low,close,volume,amount
2024-10-28 15:00:00,31.598,31.676,31.622,31.673,130847384700,1329371309000.0
2024-10-29 15:00:00,31.688,31.711,31.782,31.762,130968362100,1331053599000.0
2024-10-30 15:00:00,31.779,31.847,31.812,31.814,131106270400,1333030761000.0
2024-10-31 15:00:00,31.822,31.941,31.846,31.896,130998801000,1331593729000.0
2024-11-01 15:00:00,31.905,31.941,32.0,31.95,130406831700,1326131828000.0
2024-11-04 15:00:00,31.95,32.039,31.954,32.037,130023575000,1321180672000.0
2024-11-05 15:00:00,32.038,32.244,32.068,32.22,130922014400,1330819453000.0
2024-11-06 15:00:00,32.224,32.311,32.264,32.227,130751199300,1329241806000.0
2024-11-07 15:00:00,32.26,32.42,32.28,32.413,130553438300,1327715848000.0
2024-11-08 15:00:00,32.471,32.508,32.567,32.546,130902108900,1331002613000.0
2024-11-11 15:00:00,32.586,32.735,32.59,32.732,130717298700,1329206379000.0
2024-11-12 15:00:00,32.74,32.782,32.871,32.808,130543259100,1327884148000.0
2024-11-13 15:00:00,32.846,32.888,32.919,32.865,130064683800,1322530941000.0
2024-11-14 15:00:00,32.875,32.875,33.048,33.037,130812037800,1329699639000.0
2024-11-15 15:00:00,33.049,33.074,33.199,33.197,131201776800,1334394196000.0
2024-11-18 15:00:00,33.206,33.244,33.345,33.305,131031872900,1332115366000.0
2024-11-19 15:00:00,33.308,33.403,33.368,33.398,131123331900,1333420832000.0
2024-11-20 15:00:00,33.412,33.511,33.432,33.487,130865222700,1329740367000.0
2024-11-21 15:00:00,33.498,33.528,33.538,33.504,129528961300,1317603244000.0
2024-11-22 15:00:00,33.516,33.522,33.748,33.744,129991439300,1320867926000.0
2024-11-25 15:00:00,33.759,33.769,33.857,33.789,129774459400,1319017141000.0
2024-11-26 15:00:00,33.804,33.857,33.834,33.829,129533028700,1317258578000.0
2024-11-27 15:00:00,33.832,33.957,33.914,33.946,130247732900,1324049775000.0
2024-11-28 15:00:00,33.953,33.982,34.003,33.984,129985046400,1320671735000.0
2024-11-29 15:00:00,33.989,34.139,34.011,34.08,130448421400,1326387762000.0
2024-12-02 15:00:00,34.082,34.198,34.089,34.172,130326265800,1325597714000.0
2024-12-03 15:00:00,34.174,34.194,34.235,34.186,130112816500,1322578154000.0
2024-12-04 15:00:00,34.192,34.214,34.264,34.231,129997838800,1320988723000.0
2024-12-05 15:00:00,34.247,34.304,34.264,34.28,129567606600,1317764470000.0
2024-12-06 15:00:00,34.282,34.404,34.31,34.362,130859207600,1329693600000.0
2024-12-09 15:00:00,34.363,34.386,34.434,34.395,130444417600,1326543462000.0
2024-12-10 15:00:00,34.632,34.635,34.835,34.817,130890975000,1330405914000.0
2024-12-11 15:00:00,34.831,34.903,34.834,34.891,130900599500,1330458003000.0
2024-12-12 15:00:00,34.892,34.968,34.909,34.949,130526271500,1327369752000.0
2024-12-13 15:00:00,35.008,35.031,35.066,35.047,131238923400,1334682758000.0
2024-12-16 15:00:00,35.056,35.063,35.16,35.141,130601208300,1327671167000.0
2024-12-17 15:00:00,35.145,35.162,35.214,35.205,130563407300,1327281733000.0
2024-12-18 15:00:00,35.219,35.282,35.234,35.243,130014373600,1321096365000.0
2024-12-19 15:00:00,35.291,35.376,35.315,35.357,130201683400,1323783815000.0
2024-12-20 15:00:00,35.367,35.43,35.375,35.389,130479764000,1326753798000.0
2024-12-23 15:00:00,35.39,35.405,35.489,35.485,130647672300,1327908145000.0
2024-12-24 15:00:00,35.486,35.561,35.487,35.552,130581392400,1327402778000.0
2024-12-25 15:00:00,35.553,35.553,35.652,35.604,130692811000,1328191668000.0
2024-12-26 15:00:00,35.604,35.66,35.609,35.649,130041583800,1321415048000.0
2024-12-27 15:00:00,35.659,35.767,35.659,35.683,130145877600,1323090754000.0
2024-12-30 15:00:00,35.686,35.719,35.716,35.687,129525230800,1317461393000.0
2024-12-31 15:00:00,35.687,35.697,35.868,35.865,131191764500,1333991750000.0
2025-01-02 15:00:00,35.869,35.871,36.097,36.039,130544458500,1326699320000.0
2025-01-03 15:00:00,36.044,36.077,36.172,36.153,130578728700,1326741992000.0
2025-01-06 15:00:00,36.161,36.214,36.205,36.166,130216535200,1322841723000.0
2025-01-07 15:00:00,36.167,36.225,36.194,36.224,130451863100,1325783721000.0
2025-01-08 15:00:00,36.242,36.284,36.382,36.247,130508518000,1326105412000.0
2025-01-09 15:00:00,36.267,36.321,36.271,36.283,130023435000,1320272225000.0
2025-01-10 15:00:00,36.287,36.336,36.368,36.365,129791680600,1318582939000.0
2025-01-13 15:00:00,36.413,36.511,36.414,36.47,130117634100,1321357576000.0
2025-01-14 15:00:00,36.483,36.677,36.508,36.657,130752218200,1327975499000.0
2025-01-15 15:00:00,36.667,36.674,36.713,36.702,130545077400,1326567899000.0
2025-01-16 15:00:00,36.77,36.861,36.812,36.775,130768397600,1328026624000.0
2025-01-17 15:00:00,36.802,36.913,36.802,36.873,130045658500,1320619753000.0
2025-01-20 15:00:00,36.907,36.958,36.929,36.914,130195213400,1322856385000.0
2025-01-21 15:00:00,36.936,36.951,36.999,36.938,130262822600,1323735502000.0
2025-01-22 15:00:00,36.955,36.963,37.007,36.959,130188530500,1322644022000.0
2025-01-23 15:00:00,37.002,37.076,37.072,37.068,130494763600,1326291623000.0
2025-01-24 15:00:00,37.083,37.177,37.084,37.166,130749950900,1328025316000.0
2025-01-27 15:00:00,37.173,37.189,37.25,37.247,130710800900,1327733886000.0
2025-02-05 15:00:00,37.3,37.305,37.356,37.33,129995657200,1320191312000.0
2025-02-06 15:00:00,37.34,37.491,37.348,37.482,130644752900,1327415785000.0
2025-02-07 15:00:00,37.486,37.638,37.496,37.573,130697789200,1328021583000.0
2025-02-10 15:00:00,37.585,37.633,37.598,37.624,130456184800,1326338716000.0
2025-02-11 15:00:00,37.625,37.643,37.687,37.647,130031923500,1321010670000.0
2025-02-12 15:00:00,37.667,37.771,37.667,37.764,129980675900,1320665623000.0
2025-02-13 15:00:00,37.766,37.787,37.814,37.793,130070892800,1321737750000.0
2025-02-14 15:00:00,37.809,37.88,37.814,37.871,130194291100,1323596868000.0
2025-02-17 15:00:00,37.891,37.9,37.964,37.92,130338529500,1325581824000.0
2025-02-18 15:00:00,37.941,37.965,38.054,38.02,130137016700,1322651852000.0
2025-02-19 15:00:00,38.031,38.143,38.034,38.135,130180749800,1323342539000.0
2025-02-20 15:00:00,38.137,38.177,38.158,38.154,130378701300,1325880427000.0
2025-02-21 15:00:00,38.169,38.27,38.197,38.256,130242215400,1324537476000.0
2025-02-24 15:00:00,38.262,38.284,38.311,38.274,130445274000,1326528526000.0
2025-02-25 15:00:00,38.323,38.371,38.355,38.337,130062618200,1321761669000.0
2025-02-26 15:00:00,38.351,38.42,38.373,38.409,130233379100,1324391629000.0
2025-02-27 15:00:00,38.42,38.444,38.515,38.425,130126282400,1322726999000.0
2025-02-28 15:00:00,38.463,38.472,38.607,38.587,130166069600,1323159244000.0
2025-03-03 15:00:00,38.587,38.684,38.603,38.597,130051278700,1321409973000.0
2025-03-04 15:00:00,38.635,38.74,38.642,38.725,129612175700,1317972547000.0
2025-03-05 15:00:00,38.728,38.75,38.779,38.74,129879796800,1319963169000.0
2025-03-06 15:00:00,38.766,38.861,38.77,38.835,130443731800,1326493038000.0
2025-03-07 15:00:00,38.853,38.892,38.887,38.861,130171155600,1323483844000.0
2025-03-10 15:00:00,38.866,38.889,38.913,38.868,130230150100,1324286978000.0
2025-03-11 15:00:00,38.928,39.021,38.931,39.018,129356511600,1315413454000.0
2025-03-12 15:00:00,39.031,39.08,39.049,39.04,129625385000,1318314088000.0
2025-03-13 15:00:00,39.05,39.068,39.14,39.091,129674396100,1318562713000.0
2025-03-14 15:00:00,39.094,39.202,39.114,39.2,130692339800,1328442783000.0
2025-03-17 15:00:00,39.212,39.223,39.235,39.222,130383196700,1326155915000.0
2025-03-18 15:00:00,39.234,39.288,39.238,39.248,129462287600,1317183836000.0
2025-03-19 15:00:00,39.259,39.27,39.306,39.272,129288411800,1314600324000.0
2025-03-20 15:00:00,39.275,39.281,39.319,39.314,129985674800,1321077144000.0
2025-03-21 15:00:00,39.341,39.374,39.424,39.406,129880537900,1320143861000.0
2025-03-24 15:00:00,39.408,39.417,39.495,39.417,129792977700,1319363085000.0
2025-03-25 15:00:00,39.421,39.448,39.457,39.437,129581965100,1317819333000.0
2025-03-26 15:00:00,39.445,39.495,39.445,39.453,129544501400,1317546773000.0
2025-03-27 15:00:00,39.457,39.52,39.51,39.476,129672293000,1318490798000.0
2025-03-28 15:00:00,39.479,39.498,39.535,39.523,129592916100,1317867873000.0
2025-03-31 15:00:00,39.551,39.578,39.636,39.578,129481929500,1316846524000.0
2025-04-01 15:00:00,39.588,39.654,39.593,39.61,129433784500,1316277171000.0
2025-04-02 15:00:00,39.617,39.676,39.627,39.631,129460848000,1316699235000.0
2025-04-03 15:00:00,39.679,39.741,39.708,39.682,130011184600,1320804210000.0
2025-04-07 15:00:00,39.904,39.946,40.266,40.244,130627626100,1326776347000.0
2025-04-08 15:00:00,40.276,40.335,40.338,40.277,132884178900,1349430990000.0
2025-04-09 15:00:00,40.335,40.537,40.451,40.508,130290266200,1323343979000.0
2025-04-10 15:00:00,40.583,40.689,40.585,40.615,130014338400,1320214647000.0
2025-04-11 15:00:00,40.64,40.758,40.641,40.703,129733666800,1318281608000.0
2025-04-14 15:00:00,40.745,40.782,40.76,40.747,129689844200,1318068781000.0
2025-04-15 15:00:00,40.749,40.753,40.802,40.77,130186871000,1322635558000.0
