Date,Price,Daily_Return,F_Tech,F_Sent,Composite_Score,Signal,Signal_Delayed,B&H_Cum,Strategy_Cum
2025-08-26,4.426049709320068,-0.005257440208111364,1.95338328725884,2.441163136656148,0.19556471769284456,1,1.0,0.09308788853401495,0.14690605141553492
2025-08-27,4.361720561981201,-0.014534212574117134,0.9656441071372123,2.0462673626547248,-0.2391204807795626,0,1.0,0.07720071679986873,0.13023667506172032
2025-08-28,4.443593978881836,0.01877089917549557,1.4861147795108711,1.7742552225138273,0.18196677870099165,1,0.0,0.09742074284669067,0.13023667506172032
2025-08-29,4.484530925750732,0.00921257591567759,1.4911834814728033,1.5707533819955202,0.2664087360854739,1,1.0,0.1075308147516052,0.14064906623340945
2025-09-01,4.499151229858398,0.003260163515366621,1.2542058531611648,1.537424177424448,0.1375538409269197,1,1.0,0.11114154630600259,0.14436776870298051
2025-09-02,4.473809719085693,-0.005632509217411319,0.6847266697481821,1.379474096992457,-0.1409536369480736,0,1.0,0.10488303130458543,0.1379221066976526
2025-09-03,4.433846950531006,-0.008932603544626105,0.004440007786509756,1.2496686601625544,-0.49720345939311594,0,0.0,0.09501354922275684,0.1379221066976526
2025-09-04,4.343201160430908,-0.02044405030472285,-1.1586205289350244,1.140920168637638,-1.15154038481607,0,0.0,0.07262703713809371,0.1379221066976526
2025-09-05,4.438720703125,0.021992889384063075,-0.3798037432522336,1.0495603815093923,-0.647706398555097,0,0.0,0.0962172049162271,0.1379221066976526
2025-09-08,4.439695358276367,0.00021958019360868164,-0.6491823102270874,-0.9831920802501769,0.0037674459638183944,1,0.0,0.09645791250231972,0.1379221066976526
2025-09-09,4.413378715515137,-0.005927578502018527,-1.1753171037640509,-1.001292434408071,-0.30467328849520214,0,1.0,0.08995857215180281,0.13117698408101996
2025-09-10,4.423125743865967,0.002208518456973785,-1.1979034284009291,-1.0199257354432447,-0.3107717628632596,0,0.0,0.09236576577573685,0.13117698408101996
2025-09-11,4.542037487030029,0.026884097366883797,-0.05843841591406848,-1.0391235108302077,0.380586354783642,1,0.0,0.12173303338310237,0.13117698408101996
2025-09-12,4.504024505615234,-0.008369147441724678,-0.7558184752764859,-1.0589199570363383,-0.0299231023513562,0,1.0,0.11234508423646616,0.12170999711856045
2025-09-15,4.51182222366333,0.0017312778912224047,-0.8267597308675559,-1.4872478588406122,0.09884330501571131,1,0.0,0.11427086268821474,0.12170999711856045
2025-09-16,4.503049850463867,-0.001944308256086491,-1.1093662765884924,-1.3982061804662618,-0.10633729376659073,0,1.0,0.11210437665037332,0.11952904711022816
2025-09-17,4.535214424133301,0.007142842015422035,-0.8428880883427055,-1.318819116074574,0.021794793424206427,1,0.0,0.12004796251744643,0.11952904711022816
2025-09-18,4.477707862854004,-0.012680009344935628,-1.4883787498344965,-1.2472863872061208,-0.39411269501824947,0,1.0,0.10584574388594903,0.10533340833094362
2025-09-19,4.487454891204834,0.0021767896989639546,-1.2974269245916785,-1.1822441158344967,-0.30555850842120835,0,0.0,0.10825293750988307,0.10533340833094362
2025-09-22,4.5020751953125,0.0032580392365215705,-1.088597247260907,1.6322747427728854,-1.3060682454656982,0,0.0,0.11186366906428047,0.10533340833094362
2025-09-23,4.50499963760376,0.0006495765095848594,-1.0143859123804368,1.5129033443935542,-1.2137928851856838,0,0.0,0.11258590958556547,0.10533340833094362
2025-09-24,4.544961452484131,0.008870547856831168,-0.566712614675224,1.4098210939923266,-0.9039560064020651,0,0.0,0.12245515614138025,0.10533340833094362
2025-09-25,4.576151847839356,0.0068626314395203725,-0.17628634739121438,1.319326363969664,-0.6335023540225942,0,0.0,0.13015815218536786,0.10533340833094362
2025-09-26,4.533265113830566,-0.009371789974373157,-0.7493363754021548,1.2387959414751841,-0.9451202018313666,0,0.0,0.11956654734526095,0.10533340833094362
2025-09-29,4.608316421508789,0.016555684654146585,0.5984851495411453,2.208100919622592,-0.5241492781243496,0,0.0,0.13810173805244075,0.10533340833094362
2025-09-30,4.620987415313721,0.002749592833033665,0.9633381585001031,1.9074923098616436,-0.1849940288445956,0,0.0,0.1412310544346529,0.10533340833094362
2025-10-09,4.694088459014893,0.015819355720147366,2.219082497907583,2.2315718395608535,0.43882076292020833,1,0.0,0.15928459444363363,0.10533340833094362
2025-10-10,4.599543571472168,-0.020141266694953974,-0.26426229149930197,1.9055611938548511,-0.9207818524415217,0,1.0,0.13593513425159287,0.08307059336690759
2025-10-13,4.573227405548096,-0.005721473340810079,-0.9325515454642431,2.1421338147501485,-1.4163844531786052,0,0.0,0.12943591166408286,0.08307059336690759
2025-10-14,4.527417182922363,-0.010017044542800724,-1.7911507490587435,1.8315490668927765,-1.8073100761923566,0,0.0,0.11812230182870498,0.08307059336690759
2025-10-15,4.5868730545043945,0.013132404013109555,-0.6901145653002466,1.6037830450272894,-1.0555819571910638,0,0.0,0.13280593563238763,0.08307059336690759
2025-10-16,4.6014933586120605,0.0031874228769659396,-0.5569004442254971,1.42554056886943,-0.9043564940830703,0,0.0,0.13641666718678502,0.08307059336690759
2025-10-17,4.506948947906494,-0.020546462493229334,-2.155483072130737,1.2796696376813357,-1.8051576983509765,0,0.0,0.11306732475775116,0.08307059336690759
2025-10-20,4.522543430328369,0.0034600974189242795,-1.630460723773802,1.0242069433109,-1.3879592115886412,0,0.0,0.1169186461352345,0.08307059336690759
2025-10-21,4.590771675109863,0.01508625529695351,-0.38156513794146163,0.9322025550269245,-0.6018201047756468,0,0.0,0.13376876597675835,0.08307059336690759
2025-10-22,4.576151847839356,-0.0031846121535018534,-0.6645745264148606,0.8498497335351135,-0.7386846092629618,0,0.0,0.13015815218536786,0.08307059336690759
2025-10-23,4.593695640563965,0.003833743570570425,-0.33912136021444356,0.7763292350455625,-0.5140045101468911,0,0.0,0.13449088873503623,0.08307059336690759
2025-10-27,4.703835487365723,0.023976304792416858,1.3538781364698664,2.6042359858698476,-0.22936751246601927,0,0.0,0.16169178806756723,0.08307059336690759
2025-10-28,4.680442810058594,-0.004973107025099122,0.6901695364433491,2.2813801444117776,-0.4984503358987016,0,0.0,0.15591457047532842,0.08307059336690759
