date,Benchmark,strategy_return_raw,Strategy,gross_strategy_return,fee,turnover,selected_count,selected_codes,avg_selected_prob,strategy_config,strategy_cumulative,benchmark_cumulative,excess_cumulative
2024-12-26,0.0009709565843950135,-0.00028443051335006825,0.001975800726283078,-7.405453643585851e-05,0.00021037597691420974,0.21037597691420973,1,510050,0.5911382120555507,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.04295424611723031,0.021104584206115273,-0.06405883032334558
2024-12-27,-0.0010792456015121937,-0.0034945409307587326,-0.00028443051335006825,-0.003018080461400078,0.0004764604693586544,0.4764604693586544,1,159351,0.5911382120555507,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.043226459132306605,0.020002561574926858,-0.06322902070723346
2024-12-30,0.004242179353221215,0.01435798403764851,-0.0034945409307587326,0.014924217506484498,0.000566233468835988,0.566233468835988,1,159361,0.5351708480442483,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.04656994343233578,0.024329595381872737,-0.07089953881420852
2024-12-31,-0.016139378418051673,-0.049327373440059614,0.01435798403764851,-0.049165446549188876,0.0001619268908707412,0.1619268908707412,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.032880609899123,0.007797552417194931,-0.040678162316317934
2025-01-02,-0.028791800469918666,-0.08283165742744766,-0.049327373440059614,-0.08267782688112046,0.00015383054632720422,0.15383054632720422,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.08058606921575173,-0.021218753626073394,-0.05936731558967834
2025-01-03,-0.011441934044389784,-0.03178143776562121,-0.08283165742744766,-0.03163529874661036,0.00014613901901084386,0.14613901901084386,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.15674264896449563,-0.03241790409096945,-0.12432474487352618
2025-01-06,-0.004159688070596301,-0.011176715863740345,-0.03178143776562121,-0.011037883795680043,0.0001388320680603017,0.13883206806030168,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.1835425799868331,-0.03644274379264478,-0.14709983619418832
2025-01-07,0.007942369594704124,0.018840089592019413,-0.011176715863740345,0.0189719800566767,0.0001318904646572866,0.1318904646572866,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.19266789258516281,-0.02878981593818697,-0.16387807664697585
2025-01-08,-0.0016903272440827455,-0.0022730725670380304,0.018840089592019413,-0.002147776625613608,0.0001252959414244223,0.1252959414244223,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17745768335095347,-0.03043147897203724,-0.14702620437891623
2025-01-09,-0.0013314362970642257,-0.004132395403104358,-0.0022730725670380304,-0.004013364258751156,0.00011903114435320118,0.11903114435320118,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17932738172615625,-0.031722397693424775,-0.14760498403273148
2025-01-10,-0.01144951187652235,-0.024777896271126292,-0.004132395403104358,-0.024664816683990752,0.00011307958713554112,0.11307958713554112,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.1827187254813647,-0.042808703600804465,-0.13991002188056023
2025-01-13,-0.0029344942335612634,-0.005128285881239772,-0.024777896271126292,-0.0050208602734610076,0.00010742560777876401,0.107425607778764,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.20296923612572126,-0.045617575940502975,-0.1573516601852183
2025-01-14,0.025491045915931793,0.06164006965237609,-0.005128285881239772,0.06225841486182817,0.0006183452094520803,0.6183452094520803,1,159352,0.6343388646430255,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.2070566377390115,-0.021289369747443998,-0.1857672679915675
2025-01-15,-0.0058588835995841415,-0.015618402591971345,0.06164006965237609,-0.01517554853536766,0.0004428540566036853,0.44285405660368526,1,159351,0.6838013162034631,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.15817955365885494,-0.027023521407769313,-0.13115603225108563
2025-01-16,0.00046060214925150444,0.0010518565315661066,-0.015618402591971345,0.0012850040159362614,0.00023314748437015492,0.23314748437015492,1,159351,0.5191494154167376,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17132744429996394,-0.02657536635055857,-0.14475207794940537
2025-01-17,0.0038411334320291035,0.011429030730161376,0.0010518565315661066,0.011784190263346013,0.000355159533184637,0.35515953318463694,1,159352,0.5557952356143002,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17045579965972135,-0.022836312446686935,-0.14761948721303442
2025-01-20,0.003980938925867594,0.009425400996513622,0.011429030730161376,0.00956971709923835,0.00014431610272472886,0.14431610272472886,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.1609749135020051,-0.018946283485961612,-0.1420286300160435
2025-01-21,0.0011967035042634577,0.002216945316505693,0.009425400996513622,0.0026903246504285157,0.0004733793339228231,0.4733793339228231,1,510050,0.5008268577755736,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.15306676561562704,-0.017772253065538535,-0.1352945125500885
2025-01-22,-0.009117384268218842,-0.03245143852007788,0.002216945316505693,-0.03170235066275467,0.0007490878573232125,0.7490878573232125,1,512050,0.5313376436452267,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.1511891609482655,-0.02672760087324688,-0.12446156007501863
2025-01-23,0.001807282871996066,0.004817683854025501,-0.03245143852007788,0.004989317318482553,0.00017163346445705203,0.17163346445705202,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17873429370692862,-0.02496862233651853,-0.15376567137041008
2025-01-24,0.008590832998144449,0.031561409806432,0.004817683854025501,0.032297378889993185,0.0007359690835611783,0.7359690835611783,1,159919,0.5157116601156311,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17477769517385566,-0.016592290603060778,-0.15818540457079489
2025-01-27,-0.004266051162338191,-0.013440818851786027,0.031561409806432,-0.013081884811465768,0.0003589340403202589,0.3589340403202589,1,510050,0.5008268577755736,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.14873251582982927,-0.02078755820478595,-0.12794495762504332
2025-02-05,-0.005052675218133462,-0.01980054588886308,-0.013440818851786027,-0.01961395329033023,0.000186592598532851,0.186592598532851,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.16017424787897616,-0.025735200642732603,-0.13443904723624356
2025-02-06,0.01340845251364442,0.045537622425019575,-0.01980054588886308,0.04578295403891991,0.00024533161390033486,0.24533161390033487,1,510050,0.5555949415271819,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.17680325622249737,-0.012671817344835357,-0.16413143887766202
2025-02-07,0.013978102786843055,0.04954521123381972,0.045537622425019575,0.04996095017661832,0.0004157389427986041,0.41573894279860407,1,159352,0.679882247963643,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.13931683372285197,0.001129157476665421,-0.1404459911995174
2025-02-10,0.003111914663108728,0.012433741812459456,0.04954521123381972,0.012615604719938459,0.0001818629074790039,0.18186290747900388,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.09667410444425795,0.004244585981482585,-0.10091869042574053
2025-02-11,-0.004227441258454423,-0.013468350286584142,0.012433741812459456,-0.013295580524479088,0.00017276976210505373,0.17276976210505374,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.0854423834864092,-7.99014875041415e-07,-0.08544158447153416
2025-02-12,0.009807660659117562,0.03491626648655658,-0.013468350286584142,0.03554541899219673,0.0006291525056401471,0.629152505640147,1,159361,0.4960199036315831,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.09775996582287771,0.009806853807775795,-0.10756681963065351
2025-02-13,-0.0024968094509976863,-0.007988406821145917,0.03491626648655658,-0.007808192751045937,0.0001802140700999795,0.1802140700999795,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.06625711235470944,0.007285558511506363,-0.0735426708662158
2025-02-14,0.007626950324107845,0.02414765209114674,-0.007988406821145917,0.024318855457741723,0.00017120336659498048,0.17120336659498048,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.07371623040757147,0.014968075428464678,-0.08868430583603615
2025-02-17,0.0017803983317838112,0.005212639125531018,0.02414765209114674,0.005375282323796249,0.0001626431982652315,0.16264319826523152,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.051348652201777534,0.01677512289677141,-0.06812377509854894
2025-02-18,-0.008270260852123137,-0.02525748127284285,0.005212639125531018,-0.024923908781548557,0.00033357249129429347,0.33357249129429345,1,510050,0.4918351245778806,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.046403675069756845,0.008366127402465562,-0.054769802472222406
