code,name,family_id,start_date,end_date,history_rows,history_years,trailing_horizon_return,price_max_drawdown,horizon_days,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
159536,中证2000ETF汇添富,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,0.09300648882480167,-0.3601851851851853,120,529,0.7655954631379962,0.12390188323017835,0.14321926489226877,0.1940164839316574,0.9254414022281511,0.6352459016393444,-0.2568627450980392,0.20949731603401292,-0.1556638448791201
159531,中证2000ETF南方,CSI_2000,2023-09-18,2026-06-03,652,2.707734428473648,0.4054794520547944,-0.3654205607476635,250,402,0.9154228855721394,0.3452334690923829,0.3399978205754234,0.23958799487200025,1.4466987474840627,0.8555708390646493,-0.0972078593588418,0.3804775151925117,-0.036231500461952316
159532,中证2000ETF易方达,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,0.4991525423728813,-0.34533702677747,250,399,0.9824561403508771,0.4100418029917464,0.39639639639639634,0.24740819944679374,1.6639654782901365,0.9409499358151476,-0.041922290388548,0.4179585438920369,-0.03329568742451661
159533,中证2000ETF博时,CSI_2000,2024-06-07,2026-06-03,479,1.9876796714579055,0.5606508875739642,-0.20126227208976155,250,229,1.0,0.6247431645523591,0.6122931442080377,0.17703410957391436,3.543029988216763,1.0225118483412325,0.31999999999999984,0.6247431645523591,
159535,中证2000ETF嘉实,CSI_2000,2023-09-22,2026-06-03,648,2.6967830253251197,0.3619469026548674,-0.3299161230195713,250,398,0.9623115577889447,0.3397169015934715,0.3352558414670215,0.21700181740275612,1.5717521003452637,0.8103896103896102,-0.06886227544910173,0.3543791258632393,-0.034658558094598696
159536,中证2000ETF汇添富,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,0.3475555555555556,-0.3601851851851853,250,399,0.9348370927318296,0.3532625806191138,0.34697855750487316,0.24117478534567915,1.4706048792819824,0.8743169398907105,-0.10327198364008183,0.3808507260218762,-0.04252119765897739
159919,沪深300ETF嘉实,CSI_300,2012-05-28,2026-06-03,2410,14.015058179329227,0.004662004662004726,-0.49836065573770494,5,2405,0.5355509355509356,0.0028253939234987777,0.002764513696908777,0.03950947173812852,0.5076835037702396,0.308034390750074,-0.2409302325581396,0.02748114012728581,-0.025604866694654938
510300,沪深300ETF华泰柏瑞,CSI_300,2012-05-28,2026-06-02,2410,14.012320328542094,-0.007240547063556035,-0.5297225891677675,5,2405,0.5347193347193347,0.0031072641230286808,0.0027800945232139274,0.04359174965330364,0.5060449999425314,0.30924479166666674,-0.27554684949396024,0.030104248861002932,-0.027918761232677208
510310,沪深300ETF易方达,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.008179530201342322,-0.48627935723114957,5,2256,0.5416666666666666,0.003387889728257234,0.00331272747224598,0.03877012449190416,0.620365073098451,0.3003556417717428,-0.24636678200692042,0.02684618522752618,-0.024335550407242428
510330,沪深300ETF华夏,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.009170731707317081,-0.5243138102442186,5,2256,0.5425531914893617,0.003796873325646304,0.0033555983684273594,0.04190222804340053,0.6432862375980724,0.2988541344069371,-0.2836676217765043,0.028993317727857976,-0.026087281663023355
510350,沪深300ETF工银,CSI_300,2019-08-16,2026-06-03,1316,6.798083504449007,0.007771517388770244,-0.3666462293071735,5,1311,0.5301296720061022,0.0020457441502910994,0.0018714909544603753,0.031239492752491122,0.4649032827064594,0.27899408284023686,-0.23380339260167582,0.021169527001143128,-0.01953060176097864
159919,沪深300ETF嘉实,CSI_300,2012-05-28,2026-06-03,2410,14.015058179329227,0.014913657770800448,-0.49836065573770494,20,2390,0.5435146443514645,0.011500660820026593,0.007247449355831215,0.07869742247659499,0.5187373982156552,0.3922064777327934,-0.37835459744830624,0.06195610355031507,-0.04857415137671468
510300,沪深300ETF华泰柏瑞,CSI_300,2012-05-28,2026-06-02,2410,14.012320328542094,0.02321724709784423,-0.5297225891677675,20,2390,0.5410041841004184,0.012606195132528428,0.007891619522944815,0.08648668750850608,0.5173923870632131,0.4594137542277339,-0.4000889086463658,0.06772731834945762,-0.05236336942489131
510310,沪深300ETF易方达,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.01606425702811265,-0.48627935723114957,20,2241,0.5609103078982597,0.013595895947115744,0.010586319218241158,0.07746867478924697,0.6229697773817254,0.36555555555555563,-0.3871686896210056,0.06115105238361504,-0.047152916695851345
510330,沪深300ETF华夏,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.016709258895223122,-0.5243138102442186,20,2241,0.5631414547077198,0.0152914861214229,0.01122867631181168,0.08466762175277101,0.6410879390990165,0.43567090005521814,-0.38858871839204656,0.06610736122132682,-0.05021375838938277
510350,沪深300ETF工银,CSI_300,2019-08-16,2026-06-03,1316,6.798083504449007,0.016660133281066303,-0.3666462293071735,20,1296,0.5401234567901234,0.007610578945485137,0.005516915925585009,0.05841855020909513,0.4624365932661405,0.2950868783702818,-0.21041579168416624,0.045888568351378375,-0.037346791162107595
159919,沪深300ETF嘉实,CSI_300,2012-05-28,2026-06-03,2410,14.015058179329227,0.06727197688815512,-0.49836065573770494,60,2350,0.5697872340425532,0.03592668304862306,0.017196042253226795,0.14407704655748999,0.511030675849647,0.6031833150384192,-0.4485244424419914,0.12254549929369271,-0.07879398455983219
510300,沪深300ETF华泰柏瑞,CSI_300,2012-05-28,2026-06-02,2410,14.012320328542094,0.07071583514099777,-0.5297225891677675,60,2350,0.5697872340425532,0.0396877543286051,0.01757950857137991,0.1593629002032122,0.5103803508823432,0.7226233453670277,-0.4846725499303298,0.13357389203445086,-0.08465798097122425
510310,沪深300ETF易方达,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.06751054852320681,-0.48627935723114957,60,2201,0.5897319400272604,0.040118130261831496,0.020618556701031077,0.1423112099281955,0.5777317272796149,0.5722679200940073,-0.44367816091954027,0.1222796439097297,-0.07798335890203548
510330,沪深300ETF华夏,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.06683168316831689,-0.5243138102442186,60,2201,0.5888232621535665,0.045513078568632556,0.021072088724584104,0.15976617062564044,0.5838160525144143,0.7080291970802919,-0.48618406028773686,0.13500898877477066,-0.0826490204668978
510350,沪深300ETF工银,CSI_300,2019-08-16,2026-06-03,1316,6.798083504449007,0.0701464823602227,-0.3666462293071735,60,1256,0.5366242038216561,0.020448046560897496,0.007601076233898607,0.09608262622757023,0.43614571040824224,0.3311707460925981,-0.19088493766605352,0.088419068938454,-0.058267536055035644
159919,沪深300ETF嘉实,CSI_300,2012-05-28,2026-06-03,2410,14.015058179329227,0.08655462184873941,-0.49836065573770494,120,2290,0.5982532751091703,0.0772805102479794,0.046221801628922754,0.22673085886889008,0.49393408322456006,1.2003293084522504,-0.3358895705521472,0.196973603597199,-0.10095811789161936
510300,沪深300ETF华泰柏瑞,CSI_300,2012-05-28,2026-06-02,2410,14.012320328542094,0.09397163120567376,-0.5297225891677675,120,2290,0.5973799126637555,0.0871861045985319,0.04722694736305266,0.2614688528511138,0.48321116453952545,1.446306641837368,-0.3555359505955006,0.21897242185925891,-0.10834934226987866
510310,沪深300ETF易方达,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.08878822197055491,-0.48627935723114957,120,2141,0.6099953292853807,0.07991173193687517,0.04903225806451594,0.22299323320008754,0.519312177019595,1.1310096153846154,-0.3339925834363412,0.19527810929118622,-0.10052957204483765
510330,沪深300ETF华夏,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,0.08746846089150528,-0.5243138102442186,120,2141,0.6071929005137786,0.09143796166709506,0.05003599712023021,0.263218556253643,0.5034074991827874,1.4312652068126521,-0.35474738675958184,0.21887686878347384,-0.10555440367332398
