model_trial,strategy_trial,model_config,strategy_config,sentiment_column,tech_window,sent_window,train_lookback_days,max_iter,max_depth,learning_rate,mode,top_k,prob_threshold,sent_break_threshold,trend_filter,alpha_buy,alpha_sell,fee_rate,success,observations,active_days,active_day_rate,strategy_cumulative_return,benchmark_cumulative_return,excess_cumulative_return,strategy_annualized_return,benchmark_annualized_return,strategy_max_drawdown,benchmark_max_drawdown,strategy_sharpe_like,benchmark_sharpe_like,avg_strategy_daily_return,avg_benchmark_daily_return,outperform_day_rate,avg_turnover,avg_selected_count
1,124,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.498_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.2,False,0.6,0.05,0.001,True,303,138,0.45544554455445546,0.506994924722022,0.27864357014025165,0.22835135458177036,0.4064768153690017,0.2268225825451804,-0.179682286192539,-0.13878857107014486,1.5285879836647953,1.36395989578361,0.0014710516062984619,0.0008622317269512388,0.5214521452145214,0.1359936578907106,1.7854785478547854
1,17,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top1_p0.498_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,1,0.498,1.2,False,0.85,0.12,0.001,True,303,138,0.45544554455445546,0.5062930682571121,0.27864357014025165,0.22764949811686042,0.4059320066744405,0.2268225825451804,-0.30133624609313014,-0.13878857107014486,1.2669849461186227,1.36395989578361,0.001539938264291656,0.0008622317269512388,0.504950495049505,0.4117102071248228,0.45544554455445546
1,127,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.498_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.6,True,0.6,0.05,0.001,True,303,107,0.35313531353135313,0.5055789477762722,0.27864357014025165,0.22693537763602056,0.40537763431049134,0.2268225825451804,-0.1632009956108046,-0.13878857107014486,1.6432583940950023,1.36395989578361,0.001448974626353024,0.0008622317269512388,0.5082508250825083,0.13505733033934422,1.3036303630363035
1,35,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top1_p0.5_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,1,0.5,1.6,False,0.85,0.12,0.001,True,303,141,0.46534653465346537,0.49973172644861585,0.27864357014025165,0.2210881563083642,0.4008367640991741,0.2268225825451804,-0.30133624609313014,-0.13878857107014486,1.2593391611563862,1.36395989578361,0.0015239562281120658,0.0008622317269512388,0.5082508250825083,0.4119302080609774,0.46534653465346537
1,121,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.498_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.2,True,0.6,0.05,0.001,True,303,106,0.34983498349834985,0.4974062513564166,0.27864357014025165,0.21876268121616493,0.3990300049583708,0.2268225825451804,-0.1632009956108046,-0.13878857107014486,1.6245072152207345,1.36395989578361,0.0014307572571569476,0.0008622317269512388,0.5082508250825083,0.13489758165068744,1.2904290429042904
1,136,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.5_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.2,False,0.6,0.05,0.001,True,303,137,0.4521452145214521,0.49490368194140877,0.27864357014025165,0.21626011180115712,0.39708512611757385,0.2268225825451804,-0.179682286192539,-0.13878857107014486,1.508102219885364,1.36395989578361,0.0014432399273038364,0.0008622317269512388,0.5214521452145214,0.13486569947408605,1.7590759075907592
1,29,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top1_p0.5_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,1,0.5,1.2,False,0.85,0.12,0.001,True,303,137,0.4521452145214521,0.4911215693518003,0.27864357014025165,0.21247799921154864,0.3941448062746098,0.2268225825451804,-0.30133624609313014,-0.13878857107014486,1.244810910869952,1.36395989578361,0.0015044594462808132,0.0008622317269512388,0.5082508250825083,0.4096527058324059,0.4521452145214521
1,131,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.498_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.6,False,0.85,0.12,0.001,True,303,142,0.46864686468646866,0.4905537210524107,0.27864357014025165,0.21191015091215903,0.3937032368489437,0.2268225825451804,-0.15822001422569487,-0.13878857107014486,1.7283222745600673,1.36395989578361,0.0014006620992986724,0.0008622317269512388,0.5148514851485149,0.25071188615115636,1.834983498349835
1,139,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.5_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.6,True,0.6,0.05,0.001,True,303,105,0.3465346534653465,0.48708693001392533,0.27864357014025165,0.20844335987367368,0.391006780896465,0.2268225825451804,-0.1632009956108046,-0.13878857107014486,1.6262565678530785,1.36395989578361,0.0014042425560121094,0.0008622317269512388,0.5115511551155115,0.13208769650359864,1.283828382838284
1,133,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.5_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.2,True,0.6,0.05,0.001,True,303,104,0.3432343234323432,0.4790115898045304,0.27864357014025165,0.20036801966427875,0.38472170565209796,0.2268225825451804,-0.1632009956108046,-0.13878857107014486,1.6070756649251212,1.36395989578361,0.0013860251866947744,0.0008622317269512388,0.5115511551155115,0.13192794781218878,1.2706270627062706
1,113,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.49_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.49,1.2,False,0.85,0.12,0.001,True,303,147,0.48514851485148514,0.47562115867782895,0.27864357014025165,0.1969775885375773,0.3820811968894673,0.2268225825451804,-0.15459380061372252,-0.13878857107014486,1.6586726980596558,1.36395989578361,0.0013707206217782935,0.0008622317269512388,0.504950495049505,0.2539476278830615,1.900990099009901
1,128,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.498_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.6,True,0.85,0.12,0.001,True,303,107,0.35313531353135313,0.47469152125066083,0.27864357014025165,0.19604795111040918,0.38135700571462205,0.2268225825451804,-0.1331653860022456,-0.13878857107014486,1.883513824957575,1.36395989578361,0.0013469135889808627,0.0008622317269512388,0.5016501650165016,0.23115682078179203,1.3036303630363035
1,143,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.5_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.6,False,0.85,0.12,0.001,True,303,141,0.46534653465346537,0.47364458732174386,0.27864357014025165,0.1950010171814922,0.3805413481047897,0.2268225825451804,-0.15822001422569487,-0.13878857107014486,1.7013333125377983,1.36395989578361,0.0013609150995468697,0.0008622317269512388,0.5148514851485149,0.24857081456693889,1.8085808580858085
1,122,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.498_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.2,True,0.85,0.12,0.001,True,303,106,0.34983498349834985,0.4641822160171354,0.27864357014025165,0.18553864587688373,0.3731648578053637,0.2268225825451804,-0.1331653860022456,-0.13878857107014486,1.852741753699931,1.36395989578361,0.0013231050011721244,0.0008622317269512388,0.5016501650165016,0.2307549524010711,1.2904290429042904
1,125,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.498_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.2,False,0.85,0.12,0.001,True,303,138,0.45544554455445546,0.4559944241677796,0.27864357014025165,0.17735085402752793,0.36677550243596246,0.2268225825451804,-0.15822001422569487,-0.13878857107014486,1.6433945657962832,1.36395989578361,0.001321920966515249,0.0008622317269512388,0.5115511551155115,0.24411982428178866,1.7854785478547854
1,140,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.5_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.6,True,0.85,0.12,0.001,True,303,105,0.3465346534653465,0.4531189203237824,0.27864357014025165,0.17447535018353078,0.36453016523529214,0.2268225825451804,-0.1331653860022456,-0.13878857107014486,1.8674005776884768,1.36395989578361,0.0012944375214584234,0.0008622317269512388,0.5016501650165016,0.22616813002062874,1.283828382838284
1,134,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.5_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.2,True,0.85,0.12,0.001,True,303,104,0.3432343234323432,0.4427629186750921,0.27864357014025165,0.16411934853484045,0.3564374709810305,0.2268225825451804,-0.1331653860022456,-0.13878857107014486,1.8357164150093535,1.36395989578361,0.001270628933649685,0.0008622317269512388,0.5016501650165016,0.22576626163990782,1.2706270627062706
1,137,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.5_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.2,False,0.85,0.12,0.001,True,303,137,0.4521452145214521,0.439480151198542,0.27864357014025165,0.16083658105829035,0.353870115126349,0.2268225825451804,-0.15822001422569487,-0.13878857107014486,1.615360129520236,1.36395989578361,0.0012821713775825968,0.0008622317269512388,0.5115511551155115,0.24197820915753973,1.7590759075907592
1,117,tech10_sent20_lookback365_hgb100x3_lr0.03,discrete_top5_p0.49_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,discrete,5,0.49,1.6,True,1.0,1.0,0.001,True,303,114,0.37623762376237624,0.2998086092687082,0.27864357014025165,0.021165039128456575,0.24368841201703528,0.2268225825451804,-0.01940064831982735,-0.13878857107014486,2.7576981248669994,1.36395989578361,0.0008784063842069173,0.0008622317269512388,0.46534653465346537,0.4738173817381738,1.3993399339933994
