code,name,family_id,display_name,rows,start_date,end_date,csv_path
510560,中证500ETF国寿,CSI_500,中证500,640,2023-08-22,2026-06-03,data/raw/history/510560_中证500ETF国寿_20050101_20260603_qfq.csv
510570,中证500ETF兴业,CSI_500,中证500,1388,2020-08-12,2026-06-03,data/raw/history/510570_中证500ETF兴业_20050101_20260603_qfq.csv
510580,中证500ETF易方达,CSI_500,中证500,1909,2015-09-14,2026-06-03,data/raw/history/510580_中证500ETF易方达_20050101_20260603_qfq.csv
510590,中证500ETF平安,CSI_500,中证500,640,2023-10-12,2026-06-03,data/raw/history/510590_中证500ETF平安_20050101_20260603_qfq.csv
512510,中证500ETF华泰柏瑞,CSI_500,中证500,640,2023-10-12,2026-06-03,data/raw/history/512510_中证500ETF华泰柏瑞_20050101_20260603_qfq.csv
515530,中证500ETF泰康,CSI_500,中证500,640,2023-10-12,2026-06-03,data/raw/history/515530_中证500ETF泰康_20050101_20260603_qfq.csv
515550,中证500ETF国联,CSI_500,中证500,1543,2019-12-25,2026-06-03,data/raw/history/515550_中证500ETF国联_20050101_20260603_qfq.csv
560100,中证500增强ETF南方,CSI_500,中证500,1041,2022-02-16,2026-06-03,data/raw/history/560100_中证500增强ETF南方_20050101_20260603_qfq.csv
560950,中证500增强ETF汇添富,CSI_500,中证500,687,2023-07-31,2026-06-03,data/raw/history/560950_中证500增强ETF汇添富_20050101_20260603_qfq.csv
561350,中证500ETF国泰,CSI_500,中证500,1148,2021-09-01,2026-06-03,data/raw/history/561350_中证500ETF国泰_20050101_20260603_qfq.csv
561550,中证500增强ETF华泰柏瑞,CSI_500,中证500,1083,2021-12-10,2026-06-03,data/raw/history/561550_中证500增强ETF华泰柏瑞_20050101_20260603_qfq.csv
561950,中证500增强ETF招商,CSI_500,中证500,752,2023-04-24,2026-06-03,data/raw/history/561950_中证500增强ETF招商_20050101_20260603_qfq.csv
563030,中证500增强ETF易方达,CSI_500,中证500,781,2023-03-13,2026-06-03,data/raw/history/563030_中证500增强ETF易方达_20050101_20260603_qfq.csv
563750,中证500ETF汇添富,CSI_500,中证500,143,2025-10-30,2026-06-03,data/raw/history/563750_中证500ETF汇添富_20050101_20260603_qfq.csv
159517,中证800增强ETF银华,CSI_800,中证800,659,2023-09-05,2026-06-03,data/raw/history/159517_中证800增强ETF银华_20050101_20260603_qfq.csv
159800,中证800ETF鹏华,CSI_800,中证800,457,2024-07-12,2026-06-03,data/raw/history/159800_中证800ETF鹏华_20050101_20260603_qfq.csv
515800,中证800ETF汇添富,CSI_800,中证800,1236,2019-12-16,2026-06-03,data/raw/history/515800_中证800ETF汇添富_20050101_20260603_qfq.csv
515810,中证800ETF易方达,CSI_800,中证800,1601,2019-10-25,2026-06-03,data/raw/history/515810_中证800ETF易方达_20050101_20260603_qfq.csv
159627,A100ETF华夏,CSI_A100,中证A100,846,2022-11-30,2026-06-03,data/raw/history/159627_A100ETF华夏_20050101_20260603_qfq.csv
159630,A100ETF汇添富,CSI_A100,中证A100,868,2022-11-01,2026-06-03,data/raw/history/159630_A100ETF汇添富_20050101_20260603_qfq.csv
159631,A100ETF招商,CSI_A100,中证A100,910,2022-08-26,2026-06-03,data/raw/history/159631_A100ETF招商_20050101_20260603_qfq.csv
159661,A100ETF嘉实,CSI_A100,中证A100,603,2023-12-01,2026-06-03,data/raw/history/159661_A100ETF嘉实_20050101_20260603_qfq.csv
159686,A100ETF易方达,CSI_A100,中证A100,694,2023-07-19,2026-06-03,data/raw/history/159686_A100ETF易方达_20050101_20260603_qfq.csv
159923,中证A100ETF大成,CSI_A100,中证A100,2000,2018-03-05,2026-06-03,data/raw/history/159923_中证A100ETF大成_20050101_20260603_qfq.csv
512060,A100ETF天弘,CSI_A100,中证A100,211,2025-07-18,2026-06-03,data/raw/history/512060_A100ETF天弘_20050101_20260603_qfq.csv
