Date,Actual_Return,ML_Prob,Target_Position,Executed_Position,B&H_Cum,Dynamic_Weight_Strategy_Cum
2025-12-16,-0.0100707038444068,0.6385116417602313,1.0,0.0,-0.025522156684307795,0.0035921628407518114
2025-12-17,0.0170995533473534,0.6234334739649416,1.0,1.0,-0.008859020816717189,0.020753140568233075
2025-12-18,-0.0065970429547506,0.5162452266969694,0.16245226696969375,1.0,-0.015397620430602887,0.01401918825370796
2025-12-19,0.0042844584442849,0.6497400185787796,1.0,0.16245226696969375,-0.01117913245119373,0.01472496587594585
2025-12-22,0.0089589679268948,0.594742988014008,0.9474298801400807,1.0,-0.0023203180133796186,0.023815854299847894
2025-12-23,0.002114201203567,0.5333101457015575,0.33310145701557553,0.9474298801400807,-0.0002110224289491036,0.025866616215758587
2025-12-24,0.0035864870901327,0.5675321997320353,0.6753219973203529,0.33310145701557553,0.0033747078319665835,0.02709218220819154
2025-12-25,0.0018918885842582,0.4091092723367521,0.0,0.6753219973203529,0.00527298098744744,0.028404430078132092
2025-12-26,0.0037768374975479,0.48557092373377664,0.0,0.0,0.009069733677312675,0.028404430078132092
2025-12-29,-0.0043895947634512,0.6748787287041338,1.0,0.0,0.004640326458405619,0.028404430078132092
2025-12-30,0.0020994502603872,0.5685539722232991,0.6855397222329908,1.0,0.006749518853384373,0.030563514026643146
2025-12-31,-0.0041902061043085,0.6739095387045468,1.0,0.6855397222329908,0.002531030873975215,0.02760316599217605
2026-01-05,0.0191458112915305,0.5822518247431803,0.8225182474318029,1.0,0.02172530080499202,0.04727746229084162
2026-01-06,0.0154830842469451,0.5500655232220931,0.5006552322209313,0.8225182474318029,0.037544759714591036,0.06061466573388152
2026-01-07,-0.0036592633376683,0.33003949270538724,0.0,0.5006552322209313,0.03374811021417745,0.05867158855198262
2026-01-08,-0.0077535722581526,0.4739331078103563,0.0,0.0,0.02573286954490306,0.05867158855198262
2026-01-09,0.0045240137911499,0.5950433726429033,0.9504337264290332,0.0,0.030373299192760106,0.05867158855198262
2026-01-12,0.0057318498931122,0.460280552315135,0.0,0.9504337264290332,0.03627924427760387,0.06443895976765046
2026-01-13,-0.0034602965080778,0.39688885716522954,0.0,0.0,0.032693410827236535,0.06443895976765046
2026-01-14,-0.0061273562008292,0.5161932941827194,0.16193294182719423,0.0,0.026365730452848846,0.06443895976765046
2026-01-15,0.0018495094868797,0.5422011337082888,0.4220113370828883,0.16193294182719423,0.028264003608329702,0.06475775552349505
2026-01-16,-0.0032820472267579,0.5428747768573151,0.4287477685731512,0.4220113370828883,0.024889192586912134,0.06328300093436745
2026-01-19,0.0004222666840647,0.5147617205413372,0.14761720541337178,0.4287477685731512,0.025321969147799717,0.06347550396066937
2026-01-20,-0.0029548204332676,0.40869890426098804,0.0,0.14761720541337178,0.022292326842683563,0.06301163473228821
2026-01-21,0.001270118965017,0.4397198203438281,0.0,0.0,0.02359075971479796,0.06301163473228821
