stock_code,stock_name,holder_kind,from_report_date,to_report_date,holder_name,holder_type,status,prev_rank,current_rank,prev_ratio_pct,current_ratio_pct,ratio_delta_pct,prev_hold_num,current_hold_num,hold_num_delta,abs_ratio_delta_pct
300604,长川科技,free,2025-03-31,2025-06-30,赵轶,个人,增持,2.0,2.0,7.280116806726,7.288594571626,0.008477764899999407,35390549.0,35390549.0,0.0,0.008477764899999407
300604,长川科技,free,2025-03-31,2025-06-30,钟锋浩,个人,增持,6.0,7.0,1.681230805714,1.683188614893,0.001957809179000014,8172902.0,8172902.0,0.0,0.001957809179000014
300604,长川科技,free,2025-03-31,2025-06-30,孙峰,个人,增持,10.0,10.0,0.864394828902,0.865401424858,0.0010065959559999449,4202049.0,4202049.0,0.0,0.0010065959559999449
300604,长川科技,free,2024-12-31,2025-03-31,韩笑,个人,新进,,4.0,,2.423044480957,2.423044480957,,11779052.0,11779052.0,2.423044480957
300604,长川科技,free,2024-12-31,2025-03-31,赵轶,个人,减持,2.0,2.0,7.519271296987,7.280116806726,-0.23915449026099989,35390549.0,35390549.0,0.0,0.23915449026099989
300604,长川科技,free,2024-12-31,2025-03-31,钟锋浩,个人,减持,5.0,6.0,1.736459850388,1.681230805714,-0.05522904467400003,8172902.0,8172902.0,0.0,0.05522904467400003
300604,长川科技,free,2024-12-31,2025-03-31,孙峰,个人,减持,10.0,10.0,0.870184183021,0.864394828902,-0.005789354118999945,4095649.0,4202049.0,106400.0,0.005789354118999945
300604,长川科技,free,2024-09-30,2024-12-31,孙峰,个人,新进,,10.0,,0.870184183021,0.870184183021,,4095649.0,4095649.0,0.870184183021
300604,长川科技,free,2024-09-30,2024-12-31,赵轶,个人,减持,2.0,2.0,7.519372840916,7.519271296987,-0.00010154392899952569,35390549.0,35390549.0,0.0,0.00010154392899952569
300604,长川科技,free,2024-09-30,2024-12-31,钟锋浩,个人,减持,6.0,5.0,1.736483300394,1.736459850388,-2.3450005999903212e-05,8172902.0,8172902.0,0.0,2.3450005999903212e-05
300604,长川科技,free,2024-06-30,2024-09-30,赵轶,个人,减持,2.0,2.0,7.582628722044,7.519372840916,-0.06325588112800062,35390549.0,35390549.0,0.0,0.06325588112800062
300604,长川科技,free,2024-06-30,2024-09-30,钟锋浩,个人,减持,5.0,6.0,1.751091271505,1.736483300394,-0.014607971111000095,8172902.0,8172902.0,0.0,0.014607971111000095
600487,亨通光电,free,2025-12-31,2026-03-31,崔根良,个人,不变,2.0,2.0,3.897234115939,3.897234115939,0.0,95294433.0,95294433.0,0.0,0.0
600487,亨通光电,free,2025-12-31,2026-03-31,毛慧苏,个人,不变,10.0,9.0,0.501259063171,0.501259063171,0.0,12256692.0,12256692.0,0.0,0.0
