Date,Actual_Return,ML_Signal,ML_Signal_Delayed,B&H_Cum,ML_Strategy_Cum
2026-04-07,-0.0017961151796195,1,1.0,-0.037867949077653895,0.08758856093831158
2026-04-08,0.0350877494037391,0,1.0,-0.00410890078158499,0.12574959581888834
2026-04-09,-0.0065189500796491,1,0.0,-0.01060106514215664,0.12574959581888834
2026-04-10,0.0153106236335387,1,1.0,0.004547249572876,0.1429855241860798
2026-04-13,0.0021541903527282,1,1.0,0.006711235566765561,0.1454477325755894
2026-04-14,0.0128976662551911,1,1.0,0.019695461098456768,0.16022133514311476
2026-04-15,-0.0038200607582844,0,1.0,0.0158001624821138,0.15578921914981025
2026-04-16,0.0110779821802673,0,0.0,0.02705317858080325,0.15578921914981025
2026-04-17,-0.0014749198816085,0,0.0,0.025538357428245284,0.15578921914981025
2026-04-20,0.0054863945444756,0,0.0,0.03116486547759001,0.15578921914981025
2026-04-21,0.0023085323632341,0,0.0,0.03354534294137501,0.15578921914981025
2026-04-22,0.0073282762236972,0,0.0,0.041119448704165285,0.15578921914981025
2026-04-23,-0.0020785184606653,1,0.0,0.038955462710275945,0.15578921914981025
2026-04-24,-0.0039575198787258,1,1.0,0.034843775813489186,0.15121516033940785
2026-04-27,0.0,0,1.0,0.034843775813489186,0.15121516033940785
2026-04-28,-0.0025094278043922,0,0.0,0.032246910069260615,0.15121516033940785
2026-04-29,0.0106918487336573,0,0.0,0.043283537887506274,0.15121516033940785
2026-04-30,0.0006222324207718,0,0.0,0.043932702728837425,0.15121516033940785
2026-05-06,0.0132670255531939,0,0.0,0.05778258457175567,0.15121516033940785
2026-05-07,0.0049100179604111,0,0.0,0.06297631606021303,0.15121516033940785
2026-05-08,-0.0052931640755636,0,0.0,0.05734980801086831,0.15121516033940785
2026-05-11,0.0163732953633297,1,0.0,0.07466210871979029,0.15121516033940785
2026-05-12,-0.0006041601592862,0,1.0,0.07401284068900726,0.15051964200476453
2026-05-13,0.010880592304215,0,0.0,0.08569873653803617,0.15051964200476453
2026-05-14,-0.0151485370974921,0,0.0,0.06925198895088935,0.15051964200476453
2026-05-15,-0.0127504963314131,0,0.0,0.0556184953884149,0.15051964200476453
2026-05-18,-0.0053299604776463,1,0.0,0.04999209052852227,0.15051964200476453
2026-05-19,0.0035036522461759,1,1.0,0.053670897674969575,0.1545506627327442
2026-05-20,0.0004107321952637,1,1.0,0.05410367423585716,0.15502487386099162
2026-05-21,-0.0129336332907726,1,1.0,0.04047028386283458,0.1400862057007528
2026-05-22,0.0112312603644888,1,1.0,0.05215607652241161,0.15289081071494026
2026-05-25,0.0154257115264644,0,1.0,0.06838633263966298,0.17067497178254065
2026-05-26,0.0070893914690284,0,0.0,0.07596054159190513,0.17067497178254065
2026-05-27,-0.0080450444229618,0,0.0,0.06730439123744425,0.17067497178254065
2026-05-28,0.0,1,0.0,0.06730439123744425,0.17067497178254065
2026-05-29,-0.0018248785621871,1,1.0,0.06535669033454683,0.16853863212324582
2026-06-01,-0.0111720150143171,0,1.0,0.05345450939452623,0.15548370098035535
2026-06-02,0.0139687426779833,1,0.0,0.06816994435921941,0.15548370098035535
2026-06-03,0.0058752599371185,0,1.0,0.07444572043934738,0.1622724680767187
