date,action,rank,code,name,family_id,close,prediction,actual_forward_return,round_trip_cost_bps,net_forward_return,win,holding_horizon_days
2026-04-02,BUY,2,159531,中证2000ETF南方,CSI_2000,1.422,0.006050216550668914,0.04219409282700415,10.0,0.04119409282700415,True,5
2026-04-02,BUY,3,159352,中证A500ETF,CSI_A500,1.221,0.005892401029773233,0.04013104013103996,10.0,0.03913104013103996,True,5
2026-04-02,BUY,4,512100,中证1000ETF南方,CSI_1000,3.055,0.005463307882118873,0.047790507364975365,10.0,0.046790507364975364,True,5
2026-04-02,BUY,5,563360,中证A500ETF华泰柏瑞,CSI_A500,1.242,0.005021692038113705,0.03864734299516903,10.0,0.03764734299516903,True,5
2026-04-03,BUY,1,159531,中证2000ETF南方,CSI_2000,1.397,0.008714877681003349,0.06012884753042247,10.0,0.05912884753042247,True,5
2026-04-03,BUY,2,159800,中证800ETF鹏华,CSI_800,1.358,0.006725581520445782,0.044182621502208974,10.0,0.04318262150220897,True,5
2026-04-03,BUY,3,159352,中证A500ETF,CSI_A500,1.209,0.006352451043585265,0.053763440860215006,10.0,0.052763440860215005,True,5
2026-04-03,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.23,0.005578125655987253,0.052032520325203224,10.0,0.05103252032520322,True,5
2026-04-03,BUY,5,512100,中证1000ETF南方,CSI_1000,3.02,0.00522440314394087,0.06390728476821184,10.0,0.06290728476821184,True,5
2026-04-07,BUY,1,159531,中证2000ETF南方,CSI_2000,1.416,0.010638257184984122,0.0600282485875705,10.0,0.0590282485875705,True,5
2026-04-07,BUY,2,159352,中证A500ETF,CSI_A500,1.212,0.007379977273204423,0.06353135313531344,10.0,0.06253135313531344,True,5
2026-04-07,BUY,3,563360,中证A500ETF华泰柏瑞,CSI_A500,1.231,0.00662302088659976,0.06417546709991884,10.0,0.06317546709991884,True,5
2026-04-07,BUY,4,512100,中证1000ETF南方,CSI_1000,3.045,0.006493545913664881,0.071592775041051,10.0,0.07059277504105099,True,5
2026-04-07,BUY,5,512500,中证500ETF华夏,CSI_500,4.231,0.005817782331955474,0.06735996218388096,10.0,0.06635996218388096,True,5
2026-04-08,BUY,1,159800,中证800ETF鹏华,CSI_800,1.409,0.011209759383823448,0.017033356990773685,10.0,0.016033356990773684,True,5
2026-04-08,BUY,2,159531,中证2000ETF南方,CSI_2000,1.483,0.009048532433521264,0.006068779501011479,10.0,0.005068779501011479,True,5
2026-04-08,BUY,3,159352,中证A500ETF,CSI_A500,1.26,0.008305940065389017,0.01984126984126977,10.0,0.01884126984126977,True,5
2026-04-08,BUY,4,512100,中证1000ETF南方,CSI_1000,3.189,0.008143683571948328,0.017873941674506177,10.0,0.016873941674506177,True,5
2026-04-08,BUY,5,512500,中证500ETF华夏,CSI_500,4.445,0.008082550561199305,0.01147356580427461,10.0,0.01047356580427461,True,5
2026-04-09,BUY,1,159627,中证A100ETF华夏,CSI_A100,1.282,0.01931269419556346,0.044461778471138746,10.0,0.043461778471138746,True,5
2026-04-09,BUY,2,159800,中证800ETF鹏华,CSI_800,1.402,0.00931709126623892,0.0363766048502141,10.0,0.0353766048502141,True,5
2026-04-10,BUY,1,563360,中证A500ETF华泰柏瑞,CSI_A500,1.29,0.005358068750456728,0.023255813953488413,10.0,0.022255813953488413,True,5
2026-04-13,BUY,1,159800,中证800ETF鹏华,CSI_800,1.418,0.010258393222954715,0.02961918194640334,10.0,0.028619181946403338,True,5
2026-04-15,BUY,1,159531,中证2000ETF南方,CSI_2000,1.492,0.01201941597617912,0.04356568364611246,10.0,0.04256568364611246,True,5
2026-04-15,BUY,2,510500,中证500ETF南方,CSI_500,8.111,0.010263141574003749,0.04241153988410784,10.0,0.04141153988410784,True,5
2026-04-15,BUY,3,512500,中证500ETF华夏,CSI_500,4.496,0.01025663016647642,0.04070284697508897,10.0,0.03970284697508897,True,5
2026-04-15,BUY,4,159352,中证A500ETF,CSI_A500,1.285,0.009079745321987747,0.028793774319066268,10.0,0.027793774319066267,True,5
2026-04-15,BUY,5,563360,中证A500ETF华泰柏瑞,CSI_A500,1.306,0.008794233721580814,0.02833078101071962,10.0,0.027330781010719618,True,5
2026-04-16,BUY,1,159136,中证A50ETF广发,CSI_A50,1.038,0.015049953370454902,0.00674373795761074,10.0,0.00574373795761074,True,5
2026-04-16,BUY,2,159531,中证2000ETF南方,CSI_2000,1.522,0.011412636828854015,0.007227332457292901,10.0,0.006227332457292901,True,5
2026-04-16,BUY,3,512500,中证500ETF华夏,CSI_500,4.569,0.008453810372308409,0.015101772816809023,10.0,0.014101772816809022,True,5
2026-04-16,BUY,4,510500,中证500ETF南方,CSI_500,8.253,0.008226173826532433,0.01478250333212161,10.0,0.01378250333212161,True,5
2026-04-16,BUY,5,512100,中证1000ETF南方,CSI_1000,3.298,0.007852622990751538,0.01728320194056998,10.0,0.01628320194056998,True,5
2026-04-17,BUY,1,159531,中证2000ETF南方,CSI_2000,1.53,0.008058430626275726,-0.008496732026143872,10.0,-0.009496732026143873,False,5
2026-04-17,BUY,2,512100,中证1000ETF南方,CSI_1000,3.33,0.0071815097627159485,-0.001201201201201152,10.0,-0.002201201201201152,False,5
2026-04-17,BUY,3,510500,中证500ETF南方,CSI_500,8.29,0.006419260086181934,0.003980699638118423,10.0,0.0029806996381184234,True,5
2026-04-17,BUY,4,512500,中证500ETF华夏,CSI_500,4.592,0.006177510934049872,0.002613240418118501,10.0,0.001613240418118501,True,5
2026-04-17,BUY,5,159845,中证1000ETF华夏,CSI_1000,3.434,0.005892614851464417,-0.0014560279557368494,10.0,-0.0024560279557368494,False,5
2026-04-20,BUY,1,159352,中证A500ETF,CSI_A500,1.309,0.006541107212290071,0.0030557677616500634,10.0,0.0020557677616500633,True,5
2026-04-20,BUY,2,159531,中证2000ETF南方,CSI_2000,1.541,0.006366961237747288,-0.0012978585334199044,10.0,-0.0022978585334199044,False,5
2026-04-20,BUY,3,512500,中证500ETF华夏,CSI_500,4.623,0.006256844841588859,0.0021630975556996557,10.0,0.0011630975556996557,True,5
2026-04-20,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.331,0.0062493392174188655,0.0015026296018032514,10.0,0.0005026296018032514,True,5
2026-04-20,BUY,5,510500,中证500ETF南方,CSI_500,8.355,0.005566496566420367,0.0015559545182526335,10.0,0.0005559545182526335,True,5
2026-04-21,BUY,1,159352,中证A500ETF,CSI_A500,1.311,0.0065192767862598455,-0.004576659038901587,10.0,-0.005576659038901587,False,5
2026-04-21,BUY,2,563360,中证A500ETF华泰柏瑞,CSI_A500,1.33,0.006180360307068488,-0.00375939849624074,10.0,-0.00475939849624074,False,5
2026-04-22,BUY,1,512500,中证500ETF华夏,CSI_500,4.679,0.005047770267958026,-0.0036332549690105687,10.0,-0.004633254969010569,False,5
2026-04-23,BUY,1,563360,中证A500ETF华泰柏瑞,CSI_A500,1.335,0.00564534315859186,0.008988764044943753,10.0,0.007988764044943752,True,5
2026-04-23,BUY,2,159352,中证A500ETF,CSI_A500,1.316,0.0055541644670761255,0.0075987841945288626,10.0,0.0065987841945288625,True,5
2026-04-23,BUY,3,512500,中证500ETF华夏,CSI_500,4.638,0.005184612974915053,0.00625269512720994,10.0,0.0052526951272099396,True,5
2026-04-27,BUY,1,159531,中证2000ETF南方,CSI_2000,1.539,0.0065628514775511815,0.040935672514619936,10.0,0.039935672514619935,True,5
2026-04-28,BUY,1,159800,中证800ETF鹏华,CSI_800,1.456,0.007037704115755932,0.0350274725274724,10.0,0.0340274725274724,True,5
2026-04-28,BUY,2,512500,中证500ETF华夏,CSI_500,4.581,0.005812048112898247,0.05937568216546585,10.0,0.05837568216546585,True,5
2026-04-29,BUY,1,159800,中证800ETF鹏华,CSI_800,1.476,0.04560756642303737,0.03590785907859084,10.0,0.03490785907859084,True,5
2026-04-29,BUY,2,510500,中证500ETF南方,CSI_500,8.422,0.009711995825060509,0.058180954642602645,10.0,0.057180954642602644,True,5
2026-04-29,BUY,3,512500,中证500ETF华夏,CSI_500,4.662,0.009481423545784982,0.05770055770055782,10.0,0.05670055770055782,True,5
2026-04-29,BUY,4,159352,中证A500ETF,CSI_A500,1.324,0.009035407665610484,0.041540785498489274,10.0,0.040540785498489273,True,5
2026-04-29,BUY,5,563360,中证A500ETF华泰柏瑞,CSI_A500,1.344,0.008988355795995393,0.04092261904761907,10.0,0.03992261904761907,True,5
2026-05-06,BUY,1,159800,中证800ETF鹏华,CSI_800,1.503,0.0072146337571931726,0.02727877578176985,10.0,0.026278775781769848,True,5
