stock_code,stock_name,family_ids,display_names,industry,region,component_rank_best,index_weight_pct_max,component_free_cap_max,component_pe,component_eps,component_roe_pct,component_trade_date,source_etf_codes,source_etf_names,source_etf_dates,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,source_etf_signal_reasons
000792,盐湖股份,CSI_A50,中证A50,农化制品,海西蒙古族藏族自治州,21.0,,1558.35,12.87,0.572,6.54,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
002714,牧原股份,CSI_A50,中证A50,养殖业,南阳市,22.0,,1332.35,-41.65,-0.22,-1.57,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
000568,泸州老窖,CSI_A50,中证A50,白酒Ⅱ,泸州市,23.0,,1278.06,8.62,2.52,7.32,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
002230,科大讯飞,CSI_A50,中证A50,软件开发,合肥市,24.0,,1007.73,-162.86,-0.07,-0.91,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
002001,新和成,CSI_A50,中证A50,化学制品,绍兴市,25.0,,963.9,13.35,0.59,5.37,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
688668,鼎通科技,CSI_2000,中证2000,通信设备,东莞市,1.0,,551.47,171.63,0.58,3.88,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
688195,腾景科技,CSI_2000,中证2000,光学光电子,福州市,2.0,,437.88,758.42,0.11,1.45,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
688268,华特气体,CSI_2000,中证2000,电子化学品Ⅱ,佛山市,3.0,,245.91,181.59,0.28,1.67,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300903,科翔股份,CSI_2000,中证2000,元件,惠州市,4.0,,238.43,-150.92,-0.1233,-3.31,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
688531,日联科技,CSI_2000,中证2000,专用设备,无锡市,5.0,,224.01,182.99,0.27,1.3,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300975,商络电子,CSI_2000,中证2000,元件,南京市,6.0,,220.45,29.98,0.3755,10.1,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
301128,强瑞技术,CSI_2000,中证2000,专用设备,深圳市,7.0,,211.4,359.71,0.142,1.59,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
603950,长源东谷,CSI_2000,中证2000,汽车零部件,襄阳市,8.0,,209.11,63.21,0.26,2.71,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
603002,宏昌电子,CSI_2000,中证2000,电子化学品Ⅱ,广州市,9.0,,189.96,10135.82,0.0004,0.01,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
003036,泰坦股份,CSI_2000,中证2000,专用设备,绍兴市,10.0,,178.11,217.1,0.09,1.38,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
688028,沃尔德,CSI_2000,中证2000,通用设备,北京市,11.0,,177.09,156.17,0.1878,1.42,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300489,光智科技,CSI_2000,中证2000,光学光电子,衢州市,12.0,,173.8,283.49,0.1117,2.34,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
