period,family_id,horizon_days,period_start_date,period_end_date,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
2018,ALL,250,2018-01-02,2018-12-28,1621,0.6878470080197409,0.10138972778528665,0.11685241472475516,0.15781500205254456,0.6450240945601118,0.49856967715570066,-0.32613636363636367,0.18663649908690447,-0.08645641846234949
2018,CSI_1000,5,2018-05-21,2018-12-28,153,0.3790849673202614,-0.011994084031431805,-0.009572901325478722,0.03958344514884474,-2.1511404413131814,0.08262711864406769,-0.12082777036048065,0.026536603604392514,-0.03551808279856665
2018,CSI_1000,20,2018-05-21,2018-12-28,153,0.26143790849673204,-0.03946761998156769,-0.04350490196078427,0.07172810018193367,-1.953155776336775,0.1684451219512193,-0.17979700338327687,0.053212457991141694,-0.07227472722854446
2018,CSI_1000,60,2018-05-21,2018-12-28,153,0.3333333333333333,-0.03139479068389846,-0.07219570405727926,0.16108981174162978,-0.39940561226986493,0.4280496712929145,-0.24927870744373926,0.15944739601666588,-0.12681588403418062
2018,CSI_1000,120,2018-05-21,2018-12-28,153,0.5686274509803921,0.041533318490281565,0.08936725375081545,0.2176907023436347,0.27648170513596815,0.5022865853658536,-0.2820019249278152,0.21071061548037992,-0.18147311845121175
2018,CSI_1000,250,2018-05-21,2018-12-28,153,0.6928104575163399,0.10642929241108362,0.13916500994035808,0.16101731505433317,0.663619074129609,0.44338933528122726,-0.21456888007928632,0.19275013435299823,-0.08825175537280885
2018,CSI_300,5,2018-05-18,2018-12-28,613,0.399673735725938,-0.00810189434139468,-0.00925925925925919,0.0354049427270524,-1.6245681972978487,0.07502977371973008,-0.10419580419580421,0.027717337017352094,-0.03194893695795164
2018,CSI_300,20,2018-05-18,2018-12-28,613,0.2626427406199021,-0.027226922488396026,-0.02703690171720874,0.04566441288012734,-2.116439943451705,0.08160123171670519,-0.1490866234531527,0.029571839432750244,-0.047458339898361845
2018,CSI_300,60,2018-05-18,2018-12-28,613,0.32463295269168024,-0.005539755600227945,-0.03201219512195119,0.12796383097613745,-0.08872132454610601,0.3999999999999999,-0.17135247114530927,0.1459060695536707,-0.07833617880222268
2018,CSI_300,120,2018-05-18,2018-12-28,613,0.6133768352365416,0.0707458540236553,0.1256192498230715,0.17385737268847815,0.5896815349468658,0.41299117882919,-0.20393770202762262,0.19595491235163348,-0.1278980528595506
2018,CSI_300,250,2018-05-18,2018-12-28,613,0.9151712887438825,0.2012738075785418,0.21357216672407864,0.12124467935455621,1.6666900362381867,0.49856967715570066,-0.07825831126801996,0.2233991041091112,-0.03742410306856265
2018,CSI_500,5,2018-01-02,2018-12-28,855,0.391812865497076,-0.009913961244158352,-0.00824823252160245,0.03643102081687101,-1.9319289233807144,0.0743519781718962,-0.16391119508738783,0.023789463026534494,-0.03162674418777778
2018,CSI_500,20,2018-01-02,2018-12-28,855,0.28538011695906434,-0.03392220216609622,-0.03240477544059117,0.06031625353593874,-1.9963420405096928,0.1711711711711712,-0.1922348484848485,0.036104778129685905,-0.06188715010745602
2018,CSI_500,60,2018-01-02,2018-12-28,855,0.30526315789473685,-0.034324893421132964,-0.07270560190703212,0.14201493277358498,-0.49533592850255753,0.4290856731461483,-0.2457531143827859,0.14166762296266605,-0.11165493849886284
2018,CSI_500,120,2018-01-02,2018-12-28,855,0.504093567251462,-0.0032730438778008106,0.01672786617707045,0.1903620663818879,-0.02491615732142169,0.49099099099099086,-0.30378973105134466,0.16696745008182098,-0.1763241120301522
2018,CSI_500,250,2018-01-02,2018-12-28,855,0.5239766081871345,0.028875114567728354,0.01277372262773735,0.1400848367745207,0.20694877198704068,0.3772498200143988,-0.32613636363636367,0.1391546536501547,-0.09251366555248541
2019,ALL,5,2019-01-02,2019-12-31,2591,0.6082593593207256,0.0071648815606415285,0.007905138339920903,0.03331599763412968,1.526762418993258,0.14666666666666694,-0.15765069551777433,0.027443275555448194,-0.02432157059287109
2019,ALL,20,2019-01-02,2019-12-31,2591,0.5978386723272867,0.026001026966033493,0.017328519855595692,0.07680324991748787,1.2017003197560268,0.37703703703703684,-0.1960705693664797,0.07155049801504275,-0.041711190553079106
2019,ALL,60,2019-01-02,2019-12-31,2591,0.6715553840216133,0.044362353402605234,0.032412626832017954,0.11207597790166128,0.8111976530375793,0.4889552238805972,-0.17923015236567763,0.09527036847366954,-0.05972689010344869
2019,ALL,120,2019-01-02,2019-12-31,2591,0.7568506368197607,0.06384516318489077,0.062153846153846226,0.08890251839553545,1.0406952804395004,0.4029106029106031,-0.1848436246992784,0.09955907594402869,-0.04732147637172741
2019,ALL,250,2019-01-02,2019-12-31,2591,0.8876881512929371,0.2457000087794248,0.2822580645161292,0.15138480952860017,1.629495401856522,0.672521957340025,-0.11668003207698485,0.28219964428359734,-0.042785082834310206
2019,CSI_1000,5,2019-01-02,2019-12-31,244,0.5983606557377049,0.007564386143400312,0.008515864706975296,0.03884691099915394,1.3823959985545553,0.1151769646070786,-0.15765069551777433,0.03209489111703514,-0.02898106004181075
2019,CSI_1000,20,2019-01-02,2019-12-31,244,0.5819672131147541,0.029537569139548962,0.016573110290048487,0.08951422896608582,1.1712994748215872,0.37703703703703684,-0.16368286445012792,0.08350389878142597,-0.04559202702855433
2019,CSI_1000,60,2019-01-02,2019-12-31,244,0.6926229508196722,0.06190798255525821,0.05054071653598413,0.12829917676722102,0.9888887290595466,0.4616519174041296,-0.16321374431531088,0.12132517238353803,-0.071978751857799
2019,CSI_1000,120,2019-01-02,2019-12-31,244,0.8647540983606558,0.0989932853367591,0.09292344806539399,0.09282111026019353,1.545498636179549,0.2786503781268179,-0.11669203450025367,0.12407424531194591,-0.06137285268640508
2019,CSI_1000,250,2019-01-02,2019-12-31,244,0.9549180327868853,0.33530036603538893,0.378800828275758,0.16707120099772035,2.0149426936690173,0.672521957340025,-0.03436078827690758,0.35197104303531773,-0.01781488314492228
2019,CSI_300,5,2019-01-02,2019-12-31,1067,0.6288659793814433,0.00806870138066502,0.00785340314136107,0.030342746880763955,1.8878349268087795,0.1168110918544194,-0.09904706901530469,0.025728412376499,-0.021854697806720332
2019,CSI_300,20,2019-01-02,2019-12-31,1067,0.6354264292408622,0.028083073074585685,0.021097046413502074,0.06705960139048327,1.486513764641406,0.2531500572737686,-0.13400616764788342,0.06476964431436538,-0.03585907422765246
2019,CSI_300,60,2019-01-02,2019-12-31,1067,0.7235238987816307,0.04557257609231632,0.03388873199661124,0.09882672189172002,0.9450479274372,0.45904365904365907,-0.1399829980164352,0.08030537265645263,-0.045321386441626824
2019,CSI_300,120,2019-01-02,2019-12-31,1067,0.7141518275538894,0.05889004766418001,0.051808706315144004,0.08759348094802749,0.9742709823451805,0.4029106029106031,-0.1161910308677927,0.0949362048147219,-0.031166253151272163
2019,CSI_300,250,2019-01-02,2019-12-31,1067,0.8969072164948454,0.2189525289048183,0.2634069400630914,0.13056079367358167,1.6837106162317292,0.5430353430353432,-0.06384790011350738,0.24740373908301577,-0.028572999645499673
2019,CSI_500,5,2019-01-02,2019-12-31,1220,0.5918032786885246,0.006201742254027081,0.007696459587166471,0.03511895787551884,1.2536819150190301,0.14666666666666694,-0.1403994463120427,0.028457611745701706,-0.026064799458802395
2019,CSI_500,20,2019-01-02,2019-12-31,1220,0.5639344262295082,0.02378510318341041,0.013622508897594643,0.08298358861387355,1.0174149161256258,0.34097421203438416,-0.1960705693664797,0.07737247286434476,-0.04551585610321146
2019,CSI_500,60,2019-01-02,2019-12-31,1220,0.6295081967213115,0.04141570551544878,0.0267791578054537,0.12017877451511995,0.7062556546553773,0.4889552238805972,-0.17923015236567763,0.10530731954531147,-0.06714349708396396
2019,CSI_500,120,2019-01-02,2019-12-31,1220,0.760655737704918,0.060481989298115144,0.06222814094674567,0.08949640644837821,0.9793323866959208,0.24854227405247808,-0.1848436246992784,0.09921287253027948,-0.0626079409739688
2019,CSI_500,250,2019-01-02,2019-12-31,1220,0.860655737704918,0.2430416408348892,0.2834062909396531,0.15462113126028962,1.5781275742511165,0.5722469764481224,-0.11668003207698485,0.29106882595023803,-0.05359685546579507
2019,CSI_800,5,2019-10-25,2019-12-31,60,0.6166666666666667,0.009051133025831801,0.009002858584160056,0.017501932293528213,3.6714043370904297,0.04277456647398847,-0.02192066805845505,0.020394264520858584,-0.009196513292254764
2019,CSI_800,20,2019-10-25,2019-12-31,60,0.6833333333333333,0.019650485743320158,0.034473878347862974,0.043373980204438715,1.608160111931531,0.07922912205567445,-0.10882016036655207,0.04458750298853166,-0.03416097252266257
